Pathway	0010_07-09-16	0354_01-10-17	0677_08-19-17	0904_07-10-17	0963_05-23-17	1203_01-23-17	1320_03-23-16	1593_09-12-17	1709_09-19-17	1894_04-24-18	1985_06-07-16	2045_08-21-17	2409_08-02-16	2651_11-22-16	3227_08-15-17	3315_06-07-16	3321_03-08-16	3329_11-01-16	3369_08-07-18	3545_12-13-16	3660_09-20-16	3836_02-27-17	3898_12-27-16	3899_06-13-18	3921_07-18-17	3955_08-25-17	4018_01-05-16	4100_01-03-17	4374_02-28-17	4471_01-03-17	4489_11-17-15	4546_04-26-16	4582_05-23-17	4657_08-23-16	4759_08-16-16	4913_03-07-17	4954_11-23-16	5160_07-19-16	5287_10-19-16	5338_08-04-17	5432_01-27-16	5600_07-10-17	5702_04-26-16	5890_09-27-16	5913_01-24-17	5975_07-18-17	6037_07-10-18	6070_08-30-17	6100_12-27-16	6673_12-07-16	6753_10-30-18	6995_03-15-16	7005_02-14-18	7551_11-02-16	7660_05-01-18	7768_08-15-17	7786_11-08-16	7953_05-15-18	8012_12-09-15	8118_02-09-16	8120_05-22-18	8158_04-12-16	8186_11-22-16	8344_05-02-17	8507_05-03-16	8633_04-19-16	9059_02-02-16	9120_02-09-16	9176_03-29-16	9190_03-14-18	9371_10-16-18	9591_03-14-17
1CMET2-PWY: folate transformations III (E. coli)	142.013	152.499	542.674	824.612	184.686	315.94	498.72	477.858	498.39	0	499.789	499.988	0	506.175	484.436	648.098	232.827	648.713	432.296	551.809	336.355	514.346	454.2	478.961	516.439	549.671	539.344	431.582	356.966	0	347.106	457.433	506.048	0	683.903	407.707	452.953	419.695	382.302	656.321	378.54	466.627	544.621	146.337	448.752	453.236	498.6	198.315	501.033	589.503	364.777	450.07	360.505	449.215	290.884	536.389	0	834.39	0	522.978	555.525	690.755	392.497	433.011	309.14	493.633	390.897	492.951	0	490.58	503.529	463.012
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7ALPHADEHYDROX-PWY	0	0	1.88793	0	0	0	0.806295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.29092	0	0	0	0	0	1.84218	0	0	0	0	0	0	0	0	0	0	2.40303	0	0	12.4808	7.08845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.56546	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	0	0	50.7702	7.82528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.563	11.9541	0	16.4248	0	0	0	0	0	0	0	0	0	0	0	6.57202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.0184	0	0	0	49.9316	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	4.43797	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71542	0	0	0	0	0	0	0	8.52806	0	20.3939	0	0	0	0	3.72619	0	0.944221	0	0	0	0	0	0	17.5865	0	0	0	0	0	0	0	0	0	0	4.26301	0	0	0	1.71335	0	0	0	0	14.2239
ANAEROFRUCAT-PWY: homolactic fermentation	0	180.382	114.862	0	0	141.575	239.98	240.36	0	0	634.472	248.235	0	263.663	241.798	55.0522	247.592	109.026	163.951	11.5557	197.523	180.242	196.32	201.667	230.113	168.852	291.179	256.343	289.391	0	275.089	212.004	239.058	0	274.922	432.93	571.664	306.284	0	79.6673	243.518	316.465	135.688	52.7892	303.297	256.298	58.4164	133.542	35.6443	17.2314	476.075	415.374	274.542	345.978	377.225	82.8877	0	317.08	0	61.9639	192.285	118.43	325.449	185.987	168.074	292.919	325.255	360.456	0	321.291	120.707	272.221
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	221.182	275.3	128.829	245.674	274.034	317.722	419.161	404.616	358.177	0	623.812	461.068	0	371.4	392.767	355.038	306.375	654.158	397.292	418.454	381.03	420.281	623.375	335.897	453.433	398.698	555.889	361.876	365.003	0	332.861	301.697	433.205	241.813	446.029	525.105	573.785	404.723	0	447.33	455.952	422.825	368.753	244.937	471.457	407.629	528.578	326.341	572.603	495.503	548.711	515.741	373.635	453.664	501.288	402.091	0	375.807	197.527	145.815	517.522	795.535	407.727	424.458	225.431	449.302	364.461	496.769	0	491.433	270.89	622.041
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0	0	169.48	0	0	0	100.155	4.45775	0	0	0	59.8035	0	91.3529	56.2816	0	0	0	0	0	0	19.6463	26.3023	0	5.78904	0	53.5796	98.9133	166.238	0	189.776	0	0	0	0	354.007	0	230.519	0	0	48.5746	23.297	150.701	8.54017	95.2554	157.776	0	0	0	9.86537	0	12.7383	102.011	0	0	0	0	0	0	6.55619	7.08926	0	167.019	0	0	0	254.729	15.5404	0	3.94682	0	42.1066
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"	0	0	0	0	0	0	21.3813	0	0	0	0	0	0	26.0337	5.13653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.0113	0	0	0	0	305.52	0	89.755	0	0	2.89234	2.55197	0	0	23.8519	4.75056	0	0	0	0	0	0	67.6675	0	0	0	0	0	0	0	0	0	11.6822	0	0	0	38.8655	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0	0	1.2407	867.873	0	259.307	280.267	390.918	420.12	0	3.10343	315.014	0	361.326	317.389	501.458	31.2372	10.6746	204.778	410.801	5.06564	386.131	13.6465	373.478	259.369	405.149	423.593	279.578	185.943	0	115.565	0	381.725	0	589.652	156.098	0	304.179	307.311	523.384	16.3723	308.873	0	10.2401	213.353	2.37162	0	0	0	342.154	9.22798	0	228.293	330.199	4.77725	230.394	0	0	0	460.912	422.917	0	259.1	371	0	331.924	87.144	305.77	0	355.996	409.839	1.83441
