"t_stats"	"t_test_p"	"padj"
"Saccharomyces"	-1.00842055226832	0.317623717325027	0.469945539289106
"Fusarium"	-0.717792712544265	0.475274540696886	0.614456816370964
"Colletotrichum"	-1.56366614664789	0.122443139797029	0.368656979365947
"Puccinia"	-2.32180870710618	0.0236225078592837	0.202404259032285
"Austropuccinia"	0.194488761708824	0.846359317245688	0.891697890943396
"Acinetobacter"	-0.918383790234728	0.361610747744468	0.513592076506635
"Pseudomonas"	-1.19441134016732	0.236353531827555	0.43703105885095
"Citrobacter"	-0.249819033875993	0.803459452785918	0.865264026077143
"Enterobacter"	-0.183032917307492	0.855302058659992	0.891697890943396
"Escherichia"	-1.45530782023378	0.150348428827971	0.368656979365947
"Klebsiella"	-1.5359392015142	0.129336784285651	0.368656979365947
"Salmonella"	-1.133622346052	0.260906758727071	0.441146428419114
"Vibrio"	-1.60714623998107	0.112527554550608	0.368656979365947
"unclassified Rhizobiales (miscellaneous)"	-1.0681092350773	0.289187258525417	0.469945539289106
"unclassified Burkholderiales (miscellaneous)"	0.352027843508507	0.725883014680516	0.799286915041467
"Campylobacter"	-0.398878138065116	0.691226543990542	0.787676759431083
"Fusobacterium"	0.86036832585306	0.39283013483102	0.534685461297778
"unclassified Acidobacteria (miscellaneous)"	-0.506164433279236	0.614653868947078	0.734586331180654
"Akkermansia"	-1.38028161689168	0.171901274365141	0.380935794297148
"Chlamydia"	-0.665482808310074	0.508243224365331	0.646855012828603
"Firmicutes: environmental samples"	-1.83843297573825	0.0702421000531023	0.291166146862227
"Staphylococcus"	-0.294185802802847	0.769608691745533	0.838018353234025
"Bacillus"	-1.2451677155251	0.217311203672932	0.417578391371516
"Paenibacillus"	-1.60862511963999	0.112364877309188	0.368656979365947
"Streptococcus"	-1.86771329370841	0.0661078710496981	0.291166146862227
"Lactococcus"	-0.167501357969572	0.867464416274858	0.89485802942038
"Lactobacillus"	-0.442428515895856	0.659594933130073	0.760474158197025
"Enterococcus"	-0.0225059579833834	0.982119219384005	0.992244159790026
"Carnobacterium"	-0.55811228763986	0.578548541981299	0.708721963927091
"Clostridium"	-1.44183967608061	0.154234042387794	0.368656979365947
"unclassified Clostridiaceae"	-1.00852009093681	0.316774379833279	0.469945539289106
"Butyricicoccus"	-0.567868167529448	0.571942001417007	0.708721963927091
"Hungatella"	-1.82989454179606	0.0716557702759966	0.291166146862227
"Clostridiales: environmental samples"	-1.49539481503153	0.139520784762578	0.368656979365947
"Butyrivibrio"	-0.934591779834548	0.353214290279643	0.509044124226544
"Roseburia"	-0.369825841161518	0.712639609286321	0.793621383068857
"Coprococcus"	-0.603939165230437	0.547836463477568	0.688307351548739
"unclassified Lachnospiraceae"	-0.788536452562669	0.433210100404884	0.581569723831215
"Dorea"	-1.14867519203134	0.254600994883058	0.441146428419114
"Lachnospiraceae: environmental samples"	-1.86160104149073	0.0669892255935812	0.291166146862227
"Oribacterium"	-0.465916353995884	0.642730289786788	0.749852004751252
"Blautia"	-0.525570693843355	0.600873065447706	0.726982227331793
"Fusicatenibacter"	-1.13346755009042	0.261086661717435	0.441146428419114
"Eisenbergiella"	-1.37084266981425	0.17490208299244	0.380935794297148
"Lachnoclostridium"	-2.36161650584588	0.0210490917294578	0.202404259032285
"Tyzzerella"	-0.883630407669889	0.380145298901155	0.524883021247286
"Clostridioides"	-0.467819531835454	0.641437250322994	0.749852004751252
"Eubacterium"	-1.25332392688781	0.214353893248794	0.417578391371516
"Oscillibacter"	-1.71667211928278	0.0905819221261325	0.341424168013884
"Ruminococcus"	-0.726660971139227	0.469909686670654	0.614456816370964
"Faecalibacterium"	-0.0702573709905241	0.944190665679192	0.963861304547508
"Anaerotruncus"	-1.03351402017051	0.304930938622692	0.469945539289106
"Subdoligranulum"	-1.59911669243517	0.114317140644019	0.368656979365947
"unclassified Ruminococcaceae"	-0.00504801829143979	0.995986721974404	0.995986721974404
"Flavonifractor"	-1.39465075706638	0.167551252804928	0.380935794297148
