"t_stats"	"t_test_p"	"padj"
"Chordata"	1.42767805539629	0.158369793583526	0.976453751028049
"Mucoromycota"	-0.0296252627283949	0.976453751028049	0.976453751028049
"Ascomycota"	-0.532054118599693	0.596513446682823	0.976453751028049
"Basidiomycota"	-1.0694436542841	0.288836526006396	0.976453751028049
"Proteobacteria"	0.812002064890918	0.419641281247704	0.976453751028049
"Fusobacteria"	1.1369793735104	0.259583622353211	0.976453751028049
"Acidobacteria"	-0.443617306576914	0.65876915249476	0.976453751028049
"Spirochaetes"	0.0577528195107153	0.954120525352125	0.976453751028049
"Verrucomicrobia"	-0.089623316462582	0.928850228876913	0.976453751028049
"Planctomycetes"	-0.475752417261375	0.635794346888272	0.976453751028049
"Chlamydiae"	0.536450358005511	0.593577864867264	0.976453751028049
"Firmicutes"	0.0704470110054829	0.944044661082937	0.976453751028049
"Chloroflexi"	-0.770864753717119	0.443465666490422	0.976453751028049
"Actinobacteria (201174)"	-0.0654193395702061	0.948047976706604	0.976453751028049
"Bacteroidetes"	-0.824146153965432	0.412756296753207	0.976453751028049
"Cyanobacteria"	0.1838318653874	0.854693451633578	0.976453751028049
"Euryarchaeota"	0.269899021579689	0.788067643441914	0.976453751028049
