"t_stats"	"t_test_p"	"padj"
"Austropuccinia psidii"	0.652479723175673	0.516285952718649	0.992884524778303
"Acinetobacter baumannii"	-0.437176926791259	0.663328822806822	0.992884524778303
"Escherichia coli"	0.319481668905793	0.750314823805278	0.992884524778303
"Klebsiella pneumoniae"	0.200407696315834	0.841760848636611	0.992884524778303
"Salmonella enterica"	0.352773337893141	0.725417923664749	0.992884524778303
"Rhizobiales bacterium"	-0.18213447265171	0.856003621099171	0.992884524778303
"Akkermansia muciniphila"	-1.07066683152033	0.288062128320014	0.927132726143551
"Chlamydia trachomatis"	1.27966467908769	0.204943395984971	0.893780921378901
"Staphylococcus aureus"	0.0818680802113567	0.935015140846894	0.992884524778303
"Staphylococcus epidermidis"	0.208875387121878	0.83515535868968	0.992884524778303
"Bacillus cereus"	-0.82669663774993	0.411455824885678	0.982829038415759
"Streptococcus pneumoniae"	1.10525845220377	0.272885213814222	0.927132726143551
"Streptococcus parasanguinis"	0.399464311190238	0.690767888142407	0.992884524778303
"Lactobacillus fermentum"	1.41518133871751	0.161454558193228	0.893780921378901
"Enterococcus faecalis"	-0.139505511699337	0.889492944334412	0.992884524778303
"Enterococcus faecium"	1.22630787817074	0.224433125026728	0.911500932387569
"Clostridium sp. ATCC BAA-442"	-0.739401152822314	0.462136435258302	0.982829038415759
"Clostridium sp. 7_3_54FAA"	-0.15786018536855	0.875023077695092	0.992884524778303
"Clostridium phoceensis"	-0.744573630467889	0.459076540483105	0.982829038415759
"Clostridium sp. AF18-27"	-4.07248580023354	0.000121998674966495	0.0102547246105437
"uncultured Clostridium sp."	-0.423590805938136	0.673169455381314	0.992884524778303
"Clostridium bolteae CAG:59"	-0.632536764104224	0.5291243896217	0.992884524778303
"Clostridium clostridioforme CAG:132"	-0.856042989833332	0.394895601030999	0.982829038415759
"uncultured Butyricicoccus sp."	0.453895944673838	0.651324527372447	0.992884524778303
"Hungatella hathewayi"	-0.844826109752409	0.401087207527712	0.982829038415759
"uncultured Clostridiales bacterium"	-0.159669779885644	0.873602351405122	0.992884524778303
"Roseburia intestinalis"	0.605525440970643	0.546798058732521	0.992884524778303
"Roseburia sp."	-0.288778402166642	0.773607135681033	0.992884524778303
"[Eubacterium] rectale"	0.486749324007423	0.627964790225136	0.992884524778303
"Lachnospiraceae bacterium 7_1_58FAA"	-0.392304007670791	0.69602581470256	0.992884524778303
"Lachnospiraceae bacterium"	-0.655160927091677	0.51451390667028	0.992884524778303
"Dorea formicigenerans"	-0.145893602601388	0.884426308580033	0.992884524778303
"Dorea longicatena"	-0.216240913885519	0.829429326249028	0.992884524778303
"Blautia producta"	-1.28896659443973	0.201653296371369	0.893780921378901
"[Ruminococcus] gnavus"	1.67741099606957	0.0979262285538867	0.826171466777165
"[Ruminococcus] torques"	0.216870056178747	0.828953515910938	0.992884524778303
"Blautia obeum"	0.0459126569758901	0.963510601952711	0.992884524778303
"Blautia wexlerae"	0.143797596098852	0.886073584468945	0.992884524778303
"uncultured Blautia sp."	-0.0177099854504515	0.985921040434082	0.992884524778303
"Blautia sp. CAG:257"	-0.480756452153828	0.632196328184571	0.992884524778303
"[Clostridium] symbiosum"	0.112924911965788	0.910413486649795	0.992884524778303
"[Clostridium] clostridioforme"	-1.36897503057728	0.175507600010682	0.893780921378901
"[Clostridium] bolteae"	-1.02228400207316	0.310292326230619	0.927132726143551
"[Clostridium] asparagiforme"	-4.05082904863896	0.000130633434529219	0.0102547246105437
"[Clostridium] aldenense"	-1.10029320496764	0.275060698791186	0.927132726143551
"[Clostridium] citroniae"	-1.35432668426712	0.180004644144584	0.893780921378901
"[Clostridium] lavalense"	-3.89707033198877	0.000220681217512647	0.0115489837164952
"Lachnoclostridium sp. YL32"	-0.841688488013663	0.402845144836549	0.982829038415759
"Clostridioides difficile"	0.459721825658647	0.647174253590715	0.992884524778303
"uncultured Oscillibacter sp."	-0.0757056371415876	0.939876910076291	0.992884524778303
"uncultured Ruminococcus sp."	0.0107840755824789	0.99142640657307	0.992884524778303
"Faecalibacterium prausnitzii"	0.98047151529975	0.330585432786853	0.927132726143551
"Anaerotruncus colihominis"	-0.0129982894753799	0.989667889005871	0.992884524778303
"Subdoligranulum sp. OF01-18"	-1.78075006188762	0.0793024497175984	0.826171466777165
"Ruminococcaceae bacterium"	0.740619341408473	0.461428180521683	0.982829038415759
"Flavonifractor plautii"	-0.965928328993309	0.337458222456846	0.927132726143551
"uncultured Flavonifractor sp."	-0.392961982957266	0.695550692076247	0.992884524778303
"Clostridiales bacterium"	-0.226974226099606	0.821107279471895	0.992884524778303
"Clostridiales bacterium UBA1707"	-0.481151027473562	0.631912888384295	0.992884524778303
"Intestinimonas butyriciproducens"	-0.536696369688782	0.593187802440936	0.992884524778303
"[Clostridium] innocuum"	-0.388729362615877	0.698707917897192	0.992884524778303
"Erysipelatoclostridium ramosum"	-0.358146859888099	0.721317389068736	0.992884524778303
"Veillonella parvula"	0.988639253064253	0.326273919563917	0.927132726143551
"Veillonella atypica"	1.11283862594252	0.269584837257972	0.927132726143551
