"t_stats"	"t_test_p"	"padj"
"Saccharomyces"	-1.19014247367936	0.242305829366293	0.973512758292206
"Austropuccinia"	0.742546774987262	0.462947753506991	0.973512758292206
"Acinetobacter"	1.33956015501892	0.189554796641626	0.973512758292206
"Pseudomonas"	0.211694075767596	0.833684101906052	0.973512758292206
"Citrobacter"	2.36999184650722	0.023911029531151	0.973512758292206
"Enterobacter"	1.02272906009561	0.314404905932999	0.973512758292206
"Escherichia"	1.61483724217247	0.115597953091428	0.973512758292206
"Klebsiella"	1.82965454632061	0.0767492482561783	0.973512758292206
"Salmonella"	1.99991028455652	0.0544071291354595	0.973512758292206
"unclassified Rhizobiales (miscellaneous)"	-0.598775506168077	0.554031111678836	0.973512758292206
"unclassified Burkholderiales (miscellaneous)"	-0.472363308861528	0.639692957059818	0.973512758292206
"Bilophila"	0.0829750793617831	0.934381130729233	0.973512758292206
"Campylobacter"	-0.254722357438224	0.800474407284458	0.973512758292206
"Fusobacterium"	1.0022434659811	0.323457138253869	0.973512758292206
"Akkermansia"	-0.60731251889995	0.547890236035028	0.973512758292206
"Chlamydia"	1.1629124587375	0.253025813261224	0.973512758292206
"Firmicutes: environmental samples"	-0.25953150015042	0.796792229569418	0.973512758292206
"Staphylococcus"	0.0773109636909315	0.938836517202155	0.973512758292206
"Bacillus"	0.449922482275725	0.655661636548496	0.973512758292206
"Paenibacillus"	-0.608229333709402	0.54826743850929	0.973512758292206
"Streptococcus"	2.26811676156987	0.0299136554153559	0.973512758292206
"Lactococcus"	0.417010771138267	0.679542043351159	0.973512758292206
"Lactobacillus"	1.02533808051402	0.31291116145655	0.973512758292206
"Enterococcus"	1.11230158680041	0.274317358562366	0.973512758292206
"Clostridium"	0.0334624612729239	0.973512758292206	0.973512758292206
"unclassified Clostridiaceae"	-0.817610388893786	0.419447394439973	0.973512758292206
"Butyricicoccus"	-0.0488982326529666	0.961286773608899	0.973512758292206
"Hungatella"	0.701466914418115	0.488100467140409	0.973512758292206
"Clostridiales: environmental samples"	-0.846675315310271	0.403179601230981	0.973512758292206
"Roseburia"	0.425936912660069	0.673307610244721	0.973512758292206
"Coprococcus"	0.298316328500743	0.767645110635105	0.973512758292206
"unclassified Lachnospiraceae"	0.322358431088723	0.749338853271369	0.973512758292206
"Dorea"	0.28819856771262	0.775390083900563	0.973512758292206
"Lachnospiraceae: environmental samples"	0.100187731991284	0.920786788232897	0.973512758292206
"Blautia"	0.93362447447726	0.357367913628771	0.973512758292206
"Eisenbergiella"	-0.0416123982990041	0.967059083265157	0.973512758292206
"Lachnoclostridium"	0.703702481085338	0.486616040073069	0.973512758292206
"Tyzzerella"	0.783313331528269	0.439267181250235	0.973512758292206
"Clostridioides"	0.121992855433304	0.903623643755527	0.973512758292206
"Eubacterium"	-0.113634539514171	0.910235673048741	0.973512758292206
"Oscillibacter"	-1.60913857994259	0.116941094748432	0.973512758292206
"Ruminococcus"	0.437793339343858	0.664489098404434	0.973512758292206
"Faecalibacterium"	-1.3135055371007	0.197856639838587	0.973512758292206
"Anaerotruncus"	0.156374752805979	0.876663582017283	0.973512758292206
"Subdoligranulum"	-1.23242540485107	0.226262718385821	0.973512758292206
"unclassified Ruminococcaceae"	-1.36535163090473	0.181109557550937	0.973512758292206
"Flavonifractor"	-0.78111101870031	0.440195690974211	0.973512758292206
"unclassified Clostridiales (miscellaneous)"	-0.560995368780865	0.578920892536874	0.973512758292206
"Intestinimonas"	-0.479533346856086	0.634644766205126	0.973512758292206
"Coprobacillus"	0.689517357764864	0.495179023956391	0.973512758292206
"unclassified Erysipelotrichaceae"	-0.361204564310178	0.720208270632611	0.973512758292206
"Erysipelatoclostridium"	-0.15857161684	0.874952527418508	0.973512758292206
"Phascolarctobacterium"	-0.804176481160257	0.426999039613691	0.973512758292206
"Veillonella"	1.33029717772992	0.192584336575286	0.973512758292206
"unclassified Firmicutes sensu stricto (miscellaneous)"	-0.899183228812307	0.374973476059721	0.973512758292206
"Actinomyces"	0.935014142572664	0.357136402353731	0.973512758292206
"Bifidobacterium"	0.272529015166082	0.786878480500167	0.973512758292206
"Rothia"	1.90611407130498	0.0659602327838475	0.973512758292206
"Corynebacterium"	0.397476085750941	0.693679418175856	0.973512758292206
"Mycobacterium"	0.105273484945558	0.916778029107917	0.973512758292206
"Streptomyces"	0.0649620162701334	0.948643231148972	0.973512758292206
"Collinsella"	1.51486563345759	0.139149975811858	0.973512758292206
"Atopobium"	1.59173862181068	0.123358530450893	0.973512758292206
"Flavobacterium"	0.685041584635994	0.500390563337861	0.973512758292206
"unclassified Bacteroidetes"	0.348979044152622	0.729521195495944	0.973512758292206
"Bacteroides"	0.657613620819964	0.515516710026231	0.973512758292206
"Alistipes"	-1.32466102592143	0.19419834578539	0.973512758292206
"Porphyromonas"	-0.714380826166646	0.480034326742463	0.973512758292206
"unclassified Porphyromonadaceae"	-0.687824078731909	0.496979479188815	0.973512758292206
"Prevotella"	1.3639626506684	0.18165307893327	0.973512758292206
"Prevotellaceae: environmental samples"	0.519249117927082	0.606978062540264	0.973512758292206
"unclassified Prevotellaceae"	-0.740660249547931	0.463988007033248	0.973512758292206
"Paraprevotella"	0.492012499943055	0.625872832432772	0.973512758292206
"Odoribacter"	-0.0974615081722634	0.92299193838584	0.973512758292206
"Butyricimonas"	-0.921806521909525	0.36375673269352	0.973512758292206
"unclassified Muribaculaceae"	-0.970667707161292	0.338814917577196	0.973512758292206
"Parabacteroides"	-0.279673394259459	0.78176155037302	0.973512758292206
"unclassified Bacteroidales (miscellaneous)"	-0.25028751981648	0.804063762983128	0.973512758292206
