"t_stats"	"t_test_p"	"padj"
"Chordata"	0.743210717457336	0.462546204072063	0.859643120765437
"Mucoromycota"	0.681281146922028	0.500308666507502	0.859643120765437
"Ascomycota"	-0.675957645219187	0.503790744199847	0.859643120765437
"Basidiomycota"	-0.37217677382807	0.712097540453542	0.859643120765437
"Proteobacteria"	1.04487905969436	0.30369248427882	0.859643120765437
"Fusobacteria"	0.831956178370888	0.41138013836361	0.859643120765437
"Acidobacteria"	-0.354061749381878	0.726045582150442	0.859643120765437
"Spirochaetes"	-0.176582429679749	0.861383106299034	0.892039536800155
"Verrucomicrobia"	-0.499391949561653	0.620912184703592	0.859643120765437
"Chlamydiae"	1.02557349396668	0.312380076053983	0.859643120765437
"Firmicutes"	0.318566613202359	0.752187730669757	0.859643120765437
"Chloroflexi"	0.956965212908674	0.346456787131132	0.859643120765437
"Actinobacteria (201174)"	1.57131868326339	0.126859814870985	0.859643120765437
"Bacteroidetes"	0.539187367333276	0.593678491629164	0.859643120765437
"Cyanobacteria"	0.805682977001398	0.427092939591879	0.859643120765437
"Euryarchaeota"	0.136793969233907	0.892039536800155	0.892039536800155
