"t_stats"	"t_test_p"	"padj"
"Austropuccinia psidii"	0.744077815689688	0.462030327975142	0.998951280850989
"Acinetobacter baumannii"	1.25379467288166	0.21855619546102	0.998951280850989
"Escherichia coli"	1.61568641458973	0.115413633242665	0.998951280850989
"Klebsiella pneumoniae"	1.5606081439538	0.128515770311845	0.998951280850989
"Salmonella enterica"	1.98391260784685	0.0562484936296086	0.998951280850989
"Rhizobiales bacterium"	-0.621796088411065	0.539028937606736	0.998951280850989
"Akkermansia muciniphila"	-0.326332500327703	0.74631984578751	0.998951280850989
"Chlamydia trachomatis"	1.18428129566766	0.244626281675513	0.998951280850989
"Staphylococcus aureus"	0.0126444456752125	0.989985835201955	0.998951280850989
"Staphylococcus epidermidis"	0.562944478667085	0.577176351647588	0.998951280850989
"Bacillus cereus"	-0.916925594982135	0.366655640681586	0.998951280850989
"Streptococcus pneumoniae"	1.9387879363305	0.0612549093169939	0.998951280850989
"Streptococcus parasanguinis"	2.26332286330048	0.0302133236029579	0.998951280850989
"Lactobacillus fermentum"	0.106473871627939	0.915839888866125	0.998951280850989
"Enterococcus faecalis"	0.427059087085572	0.672242977144017	0.998951280850989
"Enterococcus faecium"	0.719260718165975	0.478745504998293	0.998951280850989
"Clostridium sp. ATCC BAA-442"	-0.171106394628237	0.865190569086949	0.998951280850989
"Clostridium sp. 7_3_54FAA"	0.659546757664469	0.514067495955415	0.998951280850989
"Clostridium phoceensis"	-0.701482176398817	0.487875983476293	0.998951280850989
"Clostridium sp. AF18-27"	0.16263255191119	0.871801416420845	0.998951280850989
"uncultured Clostridium sp."	-0.671588648556671	0.50640157483905	0.998951280850989
"Clostridium bolteae CAG:59"	-0.0279318994010132	0.977899835259258	0.998951280850989
"Clostridium clostridioforme CAG:132"	0.330340594433983	0.743203604816091	0.998951280850989
"uncultured Butyricicoccus sp."	0.122465400140004	0.903256355485299	0.998951280850989
"Hungatella hathewayi"	0.857215504146779	0.397533147612799	0.998951280850989
"uncultured Clostridiales bacterium"	-0.854765301124407	0.398765182335036	0.998951280850989
"Roseburia intestinalis"	-0.412203461748951	0.682921617142192	0.998951280850989
"Roseburia sp."	-0.121004302027759	0.90444405205832	0.998951280850989
"[Eubacterium] rectale"	-0.67517304735869	0.50444105330083	0.998951280850989
"Lachnospiraceae bacterium 7_1_58FAA"	-0.233883086643196	0.816510413928127	0.998951280850989
"Lachnospiraceae bacterium"	-0.223129752507633	0.824772262234881	0.998951280850989
"Dorea formicigenerans"	0.459483215704761	0.64886953023974	0.998951280850989
"Dorea longicatena"	0.427932566198329	0.672170296453088	0.998951280850989
"Blautia producta"	-0.0140380314517473	0.988881721060087	0.998951280850989
"[Ruminococcus] gnavus"	0.805084704279783	0.426514421070123	0.998951280850989
"[Ruminococcus] torques"	0.130359301538445	0.897079506535882	0.998951280850989
"Blautia obeum"	0.519935463338819	0.606542113375159	0.998951280850989
"Blautia wexlerae"	0.00132413370955837	0.998951280850989	0.998951280850989
"uncultured Blautia sp."	-0.337861863820402	0.737559593067242	0.998951280850989
"Blautia sp. CAG:257"	0.0976275437076646	0.922814132377233	0.998951280850989
"[Clostridium] symbiosum"	1.08939837193423	0.283717792126903	0.998951280850989
"[Clostridium] clostridioforme"	0.507218609258508	0.615377158896512	0.998951280850989
"[Clostridium] bolteae"	1.03726623990209	0.307409338918312	0.998951280850989
"[Clostridium] asparagiforme"	0.26324339586066	0.793969836379638	0.998951280850989
"[Clostridium] aldenense"	0.00293028397785433	0.997683323154232	0.998951280850989
"[Clostridium] citroniae"	0.327548812806335	0.74535789626691	0.998951280850989
"[Clostridium] lavalense"	-0.21284792454081	0.832769409887473	0.998951280850989
"Lachnoclostridium sp. YL32"	0.0615163751107228	0.951321284943199	0.998951280850989
"Clostridioides difficile"	0.113121894999187	0.910600103690003	0.998951280850989
"uncultured Oscillibacter sp."	-0.739797073502351	0.464565589008987	0.998951280850989
"uncultured Ruminococcus sp."	0.330244874841642	0.74326751686921	0.998951280850989
"Faecalibacterium prausnitzii"	-1.29873606478754	0.202935977989393	0.998951280850989
"Anaerotruncus colihominis"	-0.231563723063388	0.818276605690359	0.998951280850989
"Subdoligranulum sp. OF01-18"	-1.18542793971213	0.244067545054745	0.998951280850989
"Ruminococcaceae bacterium"	-0.883673156108872	0.384462491207977	0.998951280850989
