"t_stats"	"t_test_p"	"padj"
"1CMET2-PWY"	-1.69768808145391	0.0957476630523942	0.34974885709307
"ANAEROFRUCAT-PWY"	-1.63341995753718	0.107532021195527	0.35697738528106
"ANAGLYCOLYSIS-PWY"	-1.15608607593589	0.252814659710745	0.470498633908453
"ARGININE-SYN4-PWY"	-1.26144588641355	0.211534230724049	0.434241404773717
"ARGSYN-PWY"	-1.82502732658904	0.0728287349358392	0.305187079731136
"ARGSYNBSUB-PWY"	-2.03643922484779	0.0459879047617536	0.297189138709958
"ARO-PWY"	-0.294556183011307	0.769286403876383	0.831757282710878
"ASPASN-PWY"	-0.946227776269216	0.347524037999112	0.536528339367051
"BIOTIN-BIOSYNTHESIS-PWY"	-0.433839177301626	0.665852295745721	0.770986868758203
"BRANCHED-CHAIN-AA-SYN-PWY"	-2.55472139479284	0.0150306862151894	0.253594289711611
"CALVIN-PWY"	-1.22426322219059	0.226061866750431	0.442076539423066
"CITRULBIO-PWY"	-1.29581347366157	0.199531031080936	0.428261725246887
"COA-PWY-1"	-1.94783625492402	0.0592198045774251	0.297189138709958
"COA-PWY"	-1.95978415169297	0.0576773987450764	0.297189138709958
"COBALSYN-PWY"	-0.720273773414362	0.47386723263673	0.63324285205664
"COLANSYN-PWY"	-0.955450167666575	0.342788688097753	0.536528339367051
"COMPLETE-ARO-PWY"	-0.329046164862704	0.743194186629812	0.827861878777512
"DAPLYSINESYN-PWY"	-1.49346697843051	0.140028179990028	0.35697738528106
"DTDPRHAMSYN-PWY"	-1.59514025551022	0.116318874857612	0.35697738528106
"FASYN-ELONG-PWY"	0.599885078419254	0.550606362142641	0.672963331507672
"FASYN-INITIAL-PWY"	-1.60795934148001	0.116247354402286	0.35697738528106
"GALACTUROCAT-PWY"	-1.51607973980706	0.134219396145452	0.35697738528106
"GLCMANNANAUT-PWY"	-0.76272578905022	0.448310745022962	0.616427274406573
"GLUCONEO-PWY"	-0.955599033328002	0.342748735652277	0.536528339367051
"GLUCUROCAT-PWY"	-0.542668971923001	0.589188868869029	0.705423407625504
"GLUTORN-PWY"	-1.95424586322854	0.0552139730317833	0.297189138709958
"GLYCOGENSYNTH-PWY"	-2.06945805981871	0.0427195022672739	0.297189138709958
"GLYCOLYSIS-E-D"	-0.988454195483001	0.326490943309328	0.527178036903135
"GLYCOLYSIS"	-1.50682064659277	0.13796351240474	0.35697738528106
"HEME-BIOSYNTHESIS-II"	-0.169285602648443	0.866082617367038	0.896650239156462
"HEXITOLDEGSUPER-PWY"	-0.949361927143254	0.345848835174276	0.536528339367051
"HISDEG-PWY"	-1.17575282739996	0.243981920857737	0.461729226569481
"HISTSYN-PWY"	-2.57895757388173	0.0138906698997133	0.253594289711611
"HOMOSER-METSYN-PWY"	-1.11968515252647	0.266881545159533	0.470875022282376
"HSERMETANA-PWY"	-1.98050482664763	0.0524414551975589	0.297189138709958
"ILEUSYN-PWY"	-2.6325050636113	0.0124477717101626	0.253594289711611
"LACTOSECAT-PWY"	0.293175092543708	0.770320665237916	0.831757282710878
"MET-SAM-PWY"	-1.10738985213401	0.272136635517897	0.470875022282376
"METSYN-PWY"	-1.1498729328501	0.254328884428502	0.470498633908453
"NAGLIPASYN-PWY"	-1.12860913676274	0.263090573815756	0.470875022282376
"NONMEVIPP-PWY"	-2.30776904317936	0.0245340596916969	0.253594289711611
"NONOXIPENT-PWY"	-1.6595107858151	0.104011821356028	0.35697738528106
"OANTIGEN-PWY"	-0.773113777645373	0.442258933064307	0.616427274406573
"P161-PWY"	-1.48476641862144	0.142298458225256	0.35697738528106
"P164-PWY"	-1.14417945794307	0.25663561849552	0.470498633908453
"P441-PWY"	-1.56731550131009	0.121759749294563	0.35697738528106
"P461-PWY"	0.254620897548955	0.799797253937233	0.853117070866382
"PANTO-PWY"	-2.40467894129306	0.021202294845458	0.253594289711611
"PANTOSYN-PWY"	-2.27170642459094	0.0288337176018748	0.263430024014255
"PENTOSE-P-PWY"	-2.75505539600533	0.00816275004689595	0.253594289711611
"PEPTIDOGLYCANSYN-PWY"	-1.922463459558	0.0625981615695993	0.297189138709958
"PHOSLIPSYN-PWY"	-1.68136057835099	0.0973732613497753	0.34974885709307
"POLYISOPRENSYN-PWY"	-1.088918547643	0.280172165494703	0.474137510837189
"PWY-1042"	-1.46721781055181	0.148064483667712	0.35697738528106
"PWY-1269"	-0.342771533109748	0.732843829400163	0.821531936142858
"PWY-2941"	-0.827884895896395	0.411203590378693	0.585029372955678
"PWY-2942"	-1.82213543618422	0.0766151466738236	0.308443135916748
"PWY-3001"	-1.58868879027005	0.117599392283123	0.35697738528106
"PWY-3841"	-1.59534269475697	0.119407952471544	0.35697738528106
"PWY-4041"	-0.696401551369535	0.488599229828199	0.63324285205664
"PWY-4242"	-2.58355766798584	0.0140335462222635	0.253594289711611
"PWY-4981"	-1.54920145698111	0.126341231546713	0.35697738528106
"PWY-4984"	-1.1944036588316	0.236589198213446	0.452605422669201
"PWY-5030"	-0.616367577680953	0.539768103195376	0.669008353256241
"PWY-5097"	-1.26256295621542	0.212186140968975	0.434241404773717
"PWY-5100"	-1.85106731072213	0.0688225157763745	0.297189138709958
"PWY-5103"	-2.55302223030517	0.0150452402520979	0.253594289711611
"PWY-5104"	-0.521751465494693	0.603579276131555	0.712952702007743
"PWY-5121"	-0.204907827959098	0.838265665718932	0.878183078372215
"PWY-5154"	-1.85933396877128	0.0676081565366376	0.297189138709958
"PWY-5188"	-1.55440207657158	0.124870537663339	0.35697738528106
"PWY-5345"	-0.765497430843486	0.446668074321282	0.616427274406573
"PWY-5347"	-1.42169104205481	0.159770090844944	0.365188779074159
"PWY-5384"	-1.27983902384367	0.205016247658024	0.430621303546818
"PWY-5484"	-1.47005299522403	0.147588613650741	0.35697738528106
"PWY-5659"	-0.931523464498507	0.354997686529835	0.538617179562508
"PWY-5667"	-2.86601213941644	0.00620615954034819	0.253594289711611
"PWY-5686"	-1.63628267727678	0.110490295048007	0.35697738528106
"PWY-5695"	-1.63218115322133	0.110945122701064	0.35697738528106
"PWY-5897"	-0.670962967386575	0.50459849481924	0.63324285205664
"PWY-5898"	-0.670962967386575	0.50459849481924	0.63324285205664
"PWY-5899"	-0.670962967386575	0.50459849481924	0.63324285205664
"PWY-5973"	0.181046694405412	0.856881311715665	0.892373437053
"PWY-5989"	-0.310225823179067	0.757386591601933	0.831757282710878
"PWY-6121"	-2.02075340154218	0.0508060130099486	0.297189138709958
"PWY-6122"	-1.87957753090403	0.0683562721805075	0.297189138709958
"PWY-6123"	-0.75425649322618	0.455341672474007	0.621241351592444
"PWY-6124"	0.668538684018796	0.507313875795376	0.63324285205664
"PWY-6125"	-0.705610458967336	0.483376192941385	0.63324285205664
"PWY-6126"	-0.408985347689229	0.684088080683077	0.785969849266309
"PWY-6147"	-0.703270406758894	0.484446231924436	0.63324285205664
"PWY-6151"	-1.24411742277561	0.218634306283076	0.435796180152219
"PWY-6163"	-1.46277156772218	0.151883702003674	0.361236912873602
"PWY-6168"	-2.18994912459379	0.0345619762107556	0.264474252743174
"PWY-6270"	-2.28064338317964	0.0259357796295966	0.253594289711611
"PWY-6277"	-1.87957753090403	0.0683562721805075	0.297189138709958
"PWY-6282"	-0.0626827494540452	0.950209220204009	0.956342113756356
"PWY-6305"	-0.918033857454438	0.361954616714178	0.539864513065215
"PWY-6317"	-1.03551944222302	0.304249847124001	0.50436359853502
"PWY-6353"	-2.07356579348237	0.041993665165635	0.297189138709958
