"wi.ep"	"wi.eBH"
"unclassified bacterial viruses: environmental samples"	0.414429617802346	0.910804708252162
"crAss-like viruses"	0.83938303406387	0.988022435361582
"Viruses: environmental samples (186616)"	0.649604979663009	0.969437473945424
"unclassified RNA viruses"	0.504519546351158	0.943150760625075
"unclassified Retroviridae"	0.540650404331002	0.949008344062597
"Lentivirus"	0.476666054204105	0.93120618068272
"Alpharetrovirus"	0.508430351856916	0.941488578925626
"Caulimovirus"	0.46050176370708	0.928795067615853
"Badnavirus"	0.464202413503847	0.934231242090909
"Cavemovirus"	0.421654098008678	0.92590588335281
"Petuvirus"	0.446839903576616	0.926249616480722
"Solendovirus"	0.407738831390081	0.917955721430174
"Betasatellite"	0.439880702010174	0.925298464513695
"unclassified Parvoviridae"	0.385483887291982	0.918257727528751
"Protoparvovirus"	0.373386784599155	0.913006674955866
"Bocaparvovirus"	0.412820189600367	0.915704476908276
"Mastrevirus"	0.38643038394582	0.919222210934663
"Begomovirus"	0.554091304668956	0.950087137269125
"unclassified Microviridae"	0.642093303972703	0.967037836554658
"unclassified Gokushovirinae"	0.621512002426822	0.965361731480146
"Alpha3microvirus"	0.267533831472501	0.879241490689332
"G4microvirus"	0.167029497552575	0.838606687900457
"Phix174microvirus"	0.147967956074951	0.821894442561525
"unclassified Inoviridae"	0.476234390828871	0.936107607083897
"unclassified ssDNA viruses"	0.312867541382451	0.894697850147761
"unclassified Circoviridae"	0.32003894243972	0.896043531885956
"Gyrovirus"	0.4454459482436	0.927896149297977
"unclassified Anelloviridae"	0.0944181670053616	0.815444333087466
"Alphatorquevirus"	0.244589995288148	0.868626441537255
"Gammatorquevirus"	0.34746877249871	0.898885372286726
"Gemycircularvirus"	0.416051721718803	0.915348877730745
"Gemykolovirus"	0.355966060314546	0.908932678688356
"unclassified Poxviridae"	0.396305404756603	0.914078571521577
"Orthopoxvirus"	0.316015497414847	0.88817195916931
"Parapoxvirus"	0.445264612075577	0.917736156804942
"Avipoxvirus"	0.464243027439256	0.932353624813894
"Capripoxvirus"	0.466370654012177	0.928013714553702
"Leporipoxvirus"	0.402685467028778	0.918300727457956
"Molluscipoxvirus"	0.412161551363848	0.917642947634946
"unclassified Chordopoxvirinae"	0.428894596795252	0.925824004042821
"Crocodylidpoxvirus"	0.341255305888344	0.903018671285616
"Centapoxvirus"	0.358859050122353	0.91460812004005
"Betaentomopoxvirus"	0.256913410075283	0.870528289385402
"Alphaentomopoxvirus"	0.413457722970499	0.922956032692891
"Alphabaculovirus"	0.406462590482086	0.920499292693104
"Betabaculovirus"	0.49120591521795	0.93567039052802
"Gammabaculovirus"	0.440047178451134	0.934240508547056
