"wilcox_stats"	"wilcox_p"	"padj"
"Saccharomyces"	686	0.387753851716155	0.982705073770492
"Fusarium"	559	0.539598696058738	0.982705073770492
"Colletotrichum"	579	0.702530164354417	0.982705073770492
"Puccinia"	534	0.362309652916865	0.982705073770492
"Austropuccinia"	665	0.539598696058738	0.982705073770492
"Acinetobacter"	582	0.730475951472305	0.982705073770492
"Pseudomonas"	600	0.893193338203984	0.982705073770492
"Citrobacter"	665	0.539598696058738	0.982705073770492
"Enterobacter"	649	0.669893417111265	0.982705073770492
"Escherichia"	615	0.976715544683581	0.98756793962451
"Klebsiella"	619	0.939509246352009	0.982705073770492
"Salmonella"	631	0.828984480696853	0.982705073770492
"unclassified Rhizobiales (miscellaneous)"	599	0.883968108033067	0.982705073770492
"unclassified Burkholderiales (miscellaneous)"	676.5	0.451977260090828	0.982705073770492
"Campylobacter"	645	0.704282200807098	0.982705073770492
"Fusobacterium"	739	0.137834675067851	0.982705073770492
"unclassified Acidobacteria (miscellaneous)"	538	0.387753851716155	0.982705073770492
"Akkermansia"	586	0.765884507957777	0.982705073770492
"Chlamydia"	701	0.30038612626977	0.982705073770492
"Firmicutes: environmental samples"	513	0.248801311776859	0.982705073770492
"Staphylococcus"	604	0.930224865819452	0.982705073770492
"Bacillus"	609	0.976715544683581	0.98756793962451
"Paenibacillus"	522	0.292930875576538	0.982705073770492
"Streptococcus"	562	0.563051290663525	0.982705073770492
"Lactococcus"	667	0.521860908362621	0.982705073770492
"Lactobacillus"	661	0.570975251496448	0.982705073770492
"Enterococcus"	693	0.346390622859178	0.982705073770492
"Clostridium"	590	0.801782617066168	0.982705073770492
"unclassified Clostridiaceae"	571.5	0.638326661886527	0.982705073770492
"Butyricicoccus"	705.5	0.274425267637697	0.982705073770492
"Hungatella"	569	0.619584554993345	0.982705073770492
"Clostridiales: environmental samples"	597	0.865565371935735	0.982705073770492
"Butyrivibrio"	596.5	0.860074945262461	0.982705073770492
"Roseburia"	641	0.739278387567836	0.982705073770492
"Coprococcus"	672	0.484437024871058	0.982705073770492
"unclassified Lachnospiraceae"	654	0.627856297389991	0.982705073770492
"Dorea"	622	0.911685434852919	0.982705073770492
"Lachnospiraceae: environmental samples"	551.5	0.480738639558973	0.982705073770492
"Oribacterium"	558.5	0.533382026393309	0.982705073770492
"Blautia"	676	0.457950825207643	0.982705073770492
"Eisenbergiella"	527.5	0.323563681160182	0.982705073770492
"Lachnoclostridium"	548	0.457950825207643	0.982705073770492
"Tyzzerella"	698	0.314956139612589	0.982705073770492
"Clostridioides"	663	0.552886269388038	0.982705073770492
"Eubacterium"	565	0.586978473360349	0.982705073770492
"Oscillibacter"	631	0.827901808360114	0.982705073770492
"Ruminococcus"	637	0.774815889205117	0.982705073770492
"Faecalibacterium"	642	0.730475951472305	0.982705073770492
"Anaerotruncus"	633	0.810825303432509	0.982705073770492
"Subdoligranulum"	530.5	0.341183016847081	0.982705073770492
"unclassified Ruminococcaceae"	636	0.783776779247193	0.982705073770492
"Flavonifractor"	583	0.739278387567836	0.982705073770492
"unclassified Clostridiales (miscellaneous)"	543	0.423233291880204	0.982705073770492
"Intestinimonas"	632.5	0.814178967083654	0.982705073770492
"Coprobacillus"	628	0.855461305061544	0.982705073770492
"unclassified Erysipelotrichaceae"	566	0.592868263170179	0.982705073770492
"Erysipelatoclostridium"	638	0.764443910846111	0.982705073770492
"Phascolarctobacterium"	603.5	0.925096970844513	0.982705073770492
"Megasphaera"	627	0.865565371935735	0.982705073770492
"Veillonella"	705	0.278965561700052	0.982705073770492
"unclassified Firmicutes sensu stricto (miscellaneous)"	608	0.967406147360251	0.98756793962451
"Actinomyces"	586	0.765884507957777	0.982705073770492
"Trueperella"	546	0.441407885116751	0.982705073770492
"Schaalia"	513	0.247042057139118	0.982705073770492
"Bifidobacterium"	768	0.067454088373864	0.982705073770492
"Rothia"	539	0.396588723669029	0.982705073770492
"Corynebacterium"	611	0.995342482387078	0.995342482387078
"Mycobacterium"	603	0.920949849537753	0.982705073770492
"Mycobacteroides"	569	0.619584554993345	0.982705073770492
"Streptomyces"	572	0.644538128469411	0.982705073770492
"Collinsella"	723	0.194120850655045	0.982705073770492
"Atopobium"	633.5	0.805085581459412	0.982705073770492
"Eggerthella"	548.5	0.459110391631992	0.982705073770492
"Flavobacterium"	518	0.273774775121263	0.982705073770492
"Chryseobacterium"	536	0.377277405262528	0.982705073770492
"unclassified Bacteroidetes"	561	0.555180074337601	0.982705073770492
"Bacteroides"	584	0.748114672047154	0.982705073770492
"Alistipes"	491	0.157688606783149	0.982705073770492
"Porphyromonas"	592	0.819892976609152	0.982705073770492
"unclassified Porphyromonadaceae"	552	0.484437024871058	0.982705073770492
"Prevotella"	518	0.273774775121263	0.982705073770492
"Prevotellaceae: environmental samples"	620	0.930224865819452	0.982705073770492
"unclassified Prevotellaceae"	517	0.268649536481817	0.982705073770492
"Paraprevotella"	426	0.0292673758768572	0.982705073770492
"Odoribacter"	580	0.712976824839661	0.982705073770492
"Butyricimonas"	519	0.278965561700052	0.982705073770492
"unclassified Muribaculaceae"	551	0.479515576177337	0.982705073770492
"Barnesiella"	524	0.303812123704536	0.982705073770492
"Tannerella"	449	0.0561929517036428	0.982705073770492
"Parabacteroides"	526	0.317143493383718	0.982705073770492
"unclassified Bacteroidales (miscellaneous)"	541	0.409783923472026	0.982705073770492
