"wi.ep"	"wi.eBH"
"Negarnaviricota"	0.514624162794849	0.910519612296276
"Chordata"	0.300413451641072	0.89474958762542
"Chytridiomycota"	0.7598561789029	0.965669082866185
"Microsporidia"	0.463631175915999	0.924481868225522
"Blastocladiomycota"	0.274773163856253	0.836703842097675
"Cryptomycota"	0.407767600800033	0.873502085183043
"Mucoromycota"	0.1835223152075	0.847264128645264
"Zoopagomycota"	0.111446583833722	0.768074547915178
"Ascomycota"	0.451225288332753	0.919168905164511
"Basidiomycota"	0.068096072077597	0.729651884622044
"Proteobacteria"	0.80722127558152	0.97081630801248
"Fusobacteria"	0.377266434965701	0.908596776543271
"Nitrospirae"	0.748398893914865	0.963548666197533
"Acidobacteria"	0.305871938874261	0.88985697555344
"Dictyoglomi"	0.29114330155358	0.798658030289162
"Elusimicrobia (74152)"	0.509179521416442	0.920335063230522
"Aquificae (200783)"	0.6597081717103	0.943490879054381
"Thermotogae (200918)"	0.718579416589886	0.956579645211499
"Deferribacteres (200930)"	0.306454404734603	0.849185356588839
"Chrysiogenetes (200938)"	0.557276510617701	0.915752217154153
"Thermodesulfobacteria (200940)"	0.280200282418815	0.830461246797811
"Spirochaetes"	0.868700670127762	0.978107082950186
"Synergistetes"	0.0830860961317822	0.746734367236151
"Calditrichaeota"	0.487542540839696	0.882280236583015
"Coprothermobacterota"	0.413874509835563	0.870914860651694
"Candidatus Omnitrophica"	0.574158385319475	0.932780621649877
"Verrucomicrobia"	0.687917989568592	0.956318195558696
"Kiritimatiellaeota"	0.583218743190044	0.925728835829461
"Planctomycetes"	0.0927831071611419	0.755226152917718
"Chlamydiae"	0.563372079097469	0.94145682621908
"Lentisphaerae"	0.168108773583759	0.818955323424853
"Candidatus Marinimicrobia"	0.646458018570298	0.940961928481375
"Fibrobacteres"	0.75551990695341	0.963527359796421
"Candidatus Latescibacteria"	0.460739390679253	0.892252048139207
"Gemmatimonadetes (142182)"	0.735800807166518	0.959653739305153
"Candidatus Hydrogenedentes"	0.567391198483357	0.922148173867048
"Candidatus Cloacimonetes"	0.573583397512058	0.931303434574522
"candidate division Zixibacteria"	0.656428760704357	0.945558926610239
"Candidatus Fermentibacteria"	0.53564885793907	0.910792592439221
"Candidatus Kryptonia"	0.667172134827226	0.945674362453987
"Firmicutes"	0.932090758869366	0.98618771318404
"Deinococcus-Thermus"	0.659132190926318	0.947658101600724
"Armatimonadetes"	0.481342424353997	0.911739555679997
"Chloroflexi"	0.0283911127553095	0.625021397429535
"Actinobacteria (201174)"	0.700221494656406	0.957840233407192
"Tenericutes"	0.355084756504393	0.899397886697815
"Nitrospinae"	0.667978158860201	0.951410358664502
"Candidatus Tectomicrobia"	0.637451030981893	0.938628049570697
"Caldiserica"	0.542938615349355	0.917031822564482
"Candidatus Cryosericota"	0.476398913948357	0.887755386993798
"Candidatus Bipolaricaulota"	0.604256846616276	0.925443332884366
"Candidatus Aminicenantes"	0.714900629778383	0.958217705768047
"Candidatus Atribacteria"	0.658413806559721	0.9422949735858
"Candidatus Saccharibacteria"	0.808327384181664	0.969270494827656
"Candidatus Sumerlaeota"	0.537456592624521	0.914884956139967
"Candidatus Poribacteria"	0.0671061642759523	0.613280648250044
"candidate division WWE3"	0.706555299065248	0.953829654617465
"candidate division NC10"	0.625279721353597	0.940641582305552
"Candidatus Calescamantes"	0.56184376551735	0.916033539344152
"candidate division WPS-2"	0.463218962465541	0.910899607843878
"Candidatus Berkelbacteria"	0.456465363467767	0.890798241259867
"candidate division CPR1"	0.431477777985905	0.872245597214755
"candidate division CPR2"	0.50381302091428	0.896078534831388
"candidate division CPR3"	0.379254597109979	0.849247578867532
"Candidatus Peregrinibacteria"	0.709594928003422	0.951015751650791
"candidate division WOR-3"	0.412311300468328	0.882305373494404
"candidate division KD3-62"	0.5091448585459	0.908781903919409
"Candidatus Rokubacteria"	0.288162899917794	0.882570578585511
"Candidatus Dadabacteria"	0.617106463539641	0.937101308871855
"Candidatus Abawacabacteria"	0.526979904791311	0.913476582226997
"Candidatus Coatesbacteria"	0.447734045985634	0.875269735277157
"Candidatus Delongbacteria"	0.386806096135614	0.856341561957038
"Candidatus Doudnabacteria"	0.502014911605605	0.904210727616719
"Candidatus Edwardsbacteria"	0.423434322541718	0.881600726706004
"Candidatus Eisenbacteria"	0.516479894498846	0.887807931769369
"Candidatus Firestonebacteria"	0.564874996251192	0.920929456116243
"Candidatus Fischerbacteria"	0.49978003302411	0.902317353904665
"Candidatus Fraserbacteria"	0.556815538918016	0.920952006248896
"Candidatus Glassbacteria"	0.567004622998522	0.929669739232061
"Candidatus Handelsmanbacteria"	0.489660136031201	0.906527915035949
"Candidatus Lindowbacteria"	0.582503439480993	0.919150186936286
"Candidatus Raymondbacteria"	0.5491690469328	0.923212136344493
"Candidatus Riflebacteria"	0.600691373411062	0.925726690172761
"Candidatus Schekmanbacteria"	0.416394893133554	0.883575795256397
"Candidatus Wallbacteria"	0.606925827029362	0.931278728389956
"Candidatus Wirthbacteria"	0.476947577530139	0.882399919618249
"Candidatus Desantisbacteria"	0.521717472436666	0.90367262742246
"Candidatus Goldbacteria"	0.529420126088447	0.913699181689279
"candidate division AD3"	0.273787901535617	0.860207828680358
"candidate division FCPU426"	0.566856716097189	0.926511043979082
"Bacteroidetes"	0.332085606746952	0.900260870322195
"Chlorobi"	0.729513154411401	0.959277142787753
"Ignavibacteriae"	0.764728736993818	0.960290298281437
"Candidatus Kapabacteria"	0.612450596895166	0.937021247520844
"Rhodothermaeota"	0.622773225104178	0.943657034639893
"Balneolaeota"	0.479824959439977	0.90674635829985
"Cyanobacteria"	0.352369568798664	0.898692464195695
"Candidatus Melainabacteria"	0.0206503698250674	0.586177357780503
"Candidatus Margulisbacteria"	0.556130535811576	0.92042575774883
"Candidatus Gracilibacteria"	0.556526996907452	0.91123546293192
"Candidatus Curtissbacteria"	0.341595356173948	0.858939306431786
"Candidatus Daviesbacteria"	0.517501880496444	0.918886784766926
"Candidatus Levybacteria"	0.479118966051959	0.903039149536105
"Candidatus Gottesmanbacteria"	0.527197333538678	0.91496655921131
"Candidatus Shapirobacteria"	0.512948219248358	0.913215513081239
"Candidatus Woesebacteria"	0.607530981856558	0.933844207383125
"Candidatus Roizmanbacteria"	0.509457562242351	0.906541152349071
"Candidatus Pacebacteria"	0.595287473250036	0.932773884697697
