"wilcox_stats"	"wilcox_p"	"padj"
"Chordata"	701	0.30038612626977	0.970657927543961
"Mucoromycota"	591	0.810825303432509	1
"Ascomycota"	612	1	1
"Basidiomycota"	555	0.509098835864286	0.970657927543961
"Proteobacteria"	692	0.35243727254423	0.970657927543961
"Fusobacteria"	702	0.294932220111842	0.970657927543961
"Acidobacteria"	563	0.570975251496448	0.970657927543961
"Spirochaetes"	603	0.920949849537753	1
"Verrucomicrobia"	598	0.87475838208655	1
"Planctomycetes"	512	0.244001613580276	0.970657927543961
"Chlamydiae"	702	0.294932220111842	0.970657927543961
"Firmicutes"	614	0.986028073761023	1
"Chloroflexi"	520	0.284222005574708	0.970657927543961
"Actinobacteria (201174)"	667	0.524236568370218	0.970657927543961
"Bacteroidetes"	554	0.501615640525793	0.970657927543961
"Cyanobacteria"	628	0.856390282574249	1
"Euryarchaeota"	622	0.911685434852919	1
