"wi.ep"	"wi.eBH"
"unidentified phage"	0.522049601035361	0.931146589392192
"environmental Halophage eHP-31"	0.41873734785613	0.90804894884659
"Streptococcus phage phi-m46.1"	0.536637164252016	0.934812235691414
"Methanobacterium virus Drs3"	0.407686249162024	0.905020728444215
"Vibrio phage 1.226.O._10N.261.48.E5"	0.402386905604269	0.902209493413689
"Vibrio phage 1.184.A._10N.286.49.A5"	0.395326883037171	0.889156737202523
"Vibrio phage 1.197.A._10N.286.54.F2"	0.417448231426165	0.900872363189776
"Vibrio phage 1.284.A._10N.286.55.A5"	0.411847582468875	0.897341789469886
"Vibrio phage 2.275.O._10N.286.54.E11"	0.513520902251387	0.926543004000223
"Vibrio phage 1.009.O._10N.261.51.C9"	0.386351199386156	0.897773856207422
"Vibrio phage 1.016.O._10N.286.46.A11"	0.491000558018843	0.926153703887505
"Vibrio phage 1.038.O._10N.286.51.C2"	0.375397107999026	0.892193385709926
"Vibrio phage 1.087.A._10N.261.45.F9"	0.4496815327468	0.911262799904695
"Vibrio phage 1.213.O._10N.222.54.F10"	0.44145052737887	0.907957919139932
"Vibrio phage 1.086.O._10N.222.51.F8"	0.40137407330324	0.899098062269079
"Vibrio phage 1.250.O._10N.261.55.E11"	0.46904251201678	0.923466241680282
"Vibrio phage 1.264.O._10N.286.51.F2"	0.450878769613069	0.908643841596032
"Vibrio phage 1.060.A._10N.261.48.B5"	0.515102453644519	0.928233803992433
"Vibrio phage 1.205.O._10N.222.51.A7"	0.478360537824854	0.920022090146148
"Staphylococcus phage IME1367_02"	0.432509611249641	0.912431183487796
"Weissella phage PWc"	0.476267599565176	0.923268062304614
"Cellulophaga phage phi14:2"	0.437878483940995	0.903061230543282
"IAS virus"	0.371111104452702	0.896410736274322
"CrAssphage sp."	0.5569969494902	0.940590425885704
"Bacteroides phage crAss001"	0.343359890854625	0.880297919590085
"CrAssphage sp. O-152"	0.733873619304465	0.973610147384243
"uncultured crAssphage"	0.738101468181139	0.973531689956505
"Bradyrhizobium phage BDU-MI-1"	0.438809508462726	0.911353219418905
"Curvibacter phage P26059A"	0.403839517191304	0.900733568263433
"Lactobacillus phage T25"	0.446608069724725	0.905888241197697
"Lactobacillus phage Lb"	0.4874305875146	0.92437914761258
"Vibrio phage 1.055.O._10N.286.55.E9"	0.478134006043175	0.921692317221909
"Vibrio phage 1.076.O._10N.286.51.B7"	0.424572961019892	0.896907236447208
"Vibrio phage 1.081.O._10N.286.52.C2"	0.480595170845857	0.917401262116413
"Vibrio phage 1.084.O._10N.261.49.F5"	0.429062540696083	0.909356595518094
"Vibrio phage 1.101.O._10N.261.45.C6"	0.520706455409116	0.931036700430806
"Vibrio phage 1.121.O._10N.286.46.C4"	0.421052058091207	0.910830056233493
"Escherichia phage sp."	0.460474637849586	0.915713601994933
"Escherichia phage vB_EcoS-Ro145clw"	0.432017864051063	0.899345835079916
"Phage sp."	0.541740165745875	0.937681550660845
"Lactobacillus phage ViSo-2018a"	0.512440737497344	0.932362648756876
"Sinorhizobium phage phiM6"	0.462143721898951	0.909672974176477
"Thermus phage phiKo"	0.499797689438065	0.927284541745675
"Thermus phage phiLo"	0.504565566586913	0.928749770468917
"Thermus phage phiMa"	0.399139853208155	0.900567142169275
"Bacillus phage vB_BboS-125"	0.484901387754052	0.920481537631296
"Aeromonas phage Aswh_1"	0.542871468526244	0.935787080616232
"Enterococcus phage EfsSzw-1"	0.364846949698685	0.882521346775075
"Pseudomonas phage PaTs-2"	0.455935751219187	0.917263591822695
"Salmonella phage SeSz-2"	0.467047750876783	0.917655492658688
"Vibrio phage VpaJT_1"	0.381753536847164	0.892805328298605
"Acinetobacter phage Henu6"	0.442134807651102	0.912601632582669
"Thermobifida phage P318"	0.390853524891828	0.90620557916561
"Enterococcus phage vB_EfaP_Zip"	0.505320406565288	0.930265747446968
"Vibrio phage ValB1MD"	0.482735175934833	0.923945439296699
"uncultured marine virus"	0.508755593012114	0.941897652773706
"uncultured human fecal virus"	0.140769365197702	0.845651249998802
"uncultured virus"	0.500763210276148	0.928471475239471
"Organic Lake virophage"	0.371720763167507	0.885090425576842
"uncultured Mediterranean phage uvMED"	0.542903948163456	0.940022305192164
"uncultured Mediterranean phage"	0.389193831824898	0.903717178783602
"uncultured phage MedDCM-OCT-S04-C650"	0.509174528384352	0.926263642431322
"uncultured phage MedDCM-OCT-S08-C232"	0.405158938441182	0.90141748857655
"Beihai picorna-like virus 104"	0.515556154465224	0.929010455329905
"Beihai picorna-like virus 96"	0.37175484183947	0.899894981038104
"Beihai uca arcuata virus 1"	0.414920873833669	0.906677800818531
"Changping earthworm virus 2"	0.438058621590062	0.904461909018456
"Hubei picorna-like virus 40"	0.487639542087456	0.922456802340249
"Hubei rhabdo-like virus 4"	0.478276654766398	0.920386804070267
"Hubei sobemo-like virus 32"	0.418817885661245	0.904906373143279
"Hubei unio douglasiae virus 2"	0.469614001730372	0.917957575631265
"Sanxia tombus-like virus 8"	0.489319799945629	0.919743725079407
"Wenzhou shrimp virus 5"	0.501550647960583	0.921154312843014
"Citrus endogenous pararetrovirus"	0.48577335853454	0.914561492169801
"Avian endogenous retrovirus EAV-HP"	0.546938991043902	0.938635201678625
"Human immunodeficiency virus 1"	0.503246594408265	0.927293848969032
"Simian immunodeficiency virus"	0.410652785762147	0.902468926266984
"Human immunodeficiency virus"	0.510137532219507	0.926265770451009
"Avian leukosis virus"	0.492208088076826	0.928515525926189
"Avian myelocytomatosis virus 29"	0.473558266070845	0.919997767865646
"Avian sarcoma virus CT10"	0.474405786681339	0.919856132156994
"Y73 sarcoma virus"	0.531144766049382	0.934553016370729
"Fujinami sarcoma virus"	0.489315062857607	0.920963732782561
"Rous sarcoma virus"	0.54450347292907	0.934689165225662
"UR2 sarcoma virus"	0.502119470164842	0.931045602911062
"Strawberry vein banding virus"	0.483221565737414	0.924206455412717
"Commelina yellow mottle virus"	0.461662710289172	0.916833928713714
"Banana streak OL virus"	0.514899594945788	0.929394860492437
"Banana streak IM virus"	0.466524680917771	0.91573388510825
"Banana streak UI virus"	0.504690053429161	0.926115204844903
"Yacon necrotic mottle virus"	0.475037202335446	0.915337544226418
"Taro bacilliform CH virus"	0.502055344734524	0.926507868460033
"Wisteria badnavirus 1"	0.457581787062441	0.914153508609281
"Pineapple bacilliform CO virus"	0.463357651769287	0.914420257745332
"Sweet potato pakakuy virus"	0.465840137586479	0.919791143458063
