"wilcox_stats"	"wilcox_p"	"padj"
"Austropuccinia psidii"	665	0.539598696058738	0.997496726485359
"Acinetobacter baumannii"	573	0.652946457252139	0.997496726485359
"Escherichia coli"	616	0.967406147360251	0.997496726485359
"Klebsiella pneumoniae"	615	0.976715544683581	0.997496726485359
"Salmonella enterica"	630	0.838098650497027	0.997496726485359
"Rhizobiales bacterium"	590	0.801782617066168	0.997496726485359
"Akkermansia muciniphila"	567.5	0.605097262453505	0.997496726485359
"Chlamydia trachomatis"	744	0.12279257951151	0.997496726485359
"Staphylococcus aureus"	612	1	1
"Staphylococcus epidermidis"	589.5	0.795859197283	0.997496726485359
"Bacillus cereus"	565	0.584746913269675	0.997496726485359
"Streptococcus pneumoniae"	698	0.317143493383718	0.997496726485359
"Streptococcus parasanguinis"	620	0.930224865819452	0.997496726485359
"Lactobacillus fermentum"	715	0.227920617882567	0.997496726485359
"Enterococcus faecalis"	604	0.929769573485836	0.997496726485359
"Enterococcus faecium"	698	0.317143493383718	0.997496726485359
"Clostridium sp. ATCC BAA-442"	572	0.642370008169893	0.997496726485359
"Clostridium sp. 7_3_54FAA"	619.5	0.934394844437251	0.997496726485359
"Clostridium sp. AF18-27"	313	0.000450277173382636	0.0324199564835498
"uncultured Clostridium sp."	598	0.87475838208655	0.997496726485359
"Clostridium bolteae CAG:59"	575	0.667837543727182	0.997496726485359
"uncultured Butyricicoccus sp."	686	0.387674952251071	0.997496726485359
"Hungatella hathewayi"	558	0.531889897106103	0.997496726485359
"uncultured Clostridiales bacterium"	597	0.865565371935735	0.997496726485359
"Roseburia intestinalis"	650.5	0.654974490779167	0.997496726485359
"Roseburia sp."	601	0.90178565965106	0.997496726485359
"[Eubacterium] rectale"	662	0.560775924911156	0.997496726485359
"Lachnospiraceae bacterium 7_1_58FAA"	596	0.855430026397104	0.997496726485359
"Lachnospiraceae bacterium"	558	0.531889897106103	0.997496726485359
"Dorea formicigenerans"	609	0.97656291801724	0.997496726485359
"Dorea longicatena"	619	0.939509246352009	0.997496726485359
"Blautia producta"	570	0.625786312525765	0.997496726485359
"[Ruminococcus] gnavus"	753	0.0989431360324753	0.997496726485359
"[Ruminococcus] torques"	614	0.985934487427574	0.999820888658948
