"wi.ep"	"wi.eBH"
"unclassified bacterial viruses: environmental samples"	0.553782988772496	0.990234510088464
"crAss-like viruses"	0.180892024202356	0.983355513274733
"Viruses: environmental samples (186616)"	0.80686791793301	0.994428798289284
"unclassified RNA viruses"	0.486932131058141	0.987330899145964
"unclassified Retroviridae"	0.52062446636174	0.988962279367815
"Lentivirus"	0.569828613842517	0.990807315379306
"Badnavirus"	0.568462758720733	0.990345531439064
"Solendovirus"	0.560495442384793	0.990425541392106
"unclassified Parvoviridae"	0.551001399507315	0.989371246391866
"Protoparvovirus"	0.498177139136278	0.989656295335323
"Mastrevirus"	0.526456693235636	0.989617274183623
"Begomovirus"	0.540615294662126	0.989129000125387
"unclassified Microviridae"	0.417022732686004	0.987406932434167
"unclassified Gokushovirinae"	0.575537765418759	0.989558498516123
"Alpha3microvirus"	0.482223455271925	0.989348530720334
"G4microvirus"	0.445934080100058	0.987337841329052
"Phix174microvirus"	0.465226793403515	0.9888774234174
"unclassified ssDNA viruses"	0.570665247318912	0.990640529705523
"unclassified Circoviridae"	0.578502483245748	0.990716760749128
"Gyrovirus"	0.560849216821368	0.991056375591929
"unclassified Anelloviridae"	0.64981903728668	0.992287667436
"Alphatorquevirus"	0.578152938474265	0.990018253161686
"Gammatorquevirus"	0.557148427952345	0.99008180427605
"Gemykolovirus"	0.514235356383785	0.988664556871648
"unclassified Poxviridae"	0.557408382903941	0.990114097561815
"Orthopoxvirus"	0.508557271134527	0.988572279727117
"Parapoxvirus"	0.537381263707043	0.990194243527842
"Avipoxvirus"	0.529494690845895	0.987741231223416
"Molluscipoxvirus"	0.488531947323989	0.988560731938655
"unclassified Chordopoxvirinae"	0.490560773925968	0.989263265337063
"Crocodylidpoxvirus"	0.529508313879415	0.989137751062688
"Centapoxvirus"	0.540233493140826	0.989980974401247
"Betaentomopoxvirus"	0.560856962081047	0.9899687458303
"Alphabaculovirus"	0.540123702048048	0.989056691168183
"Betabaculovirus"	0.558007181766798	0.990339768348887
"Ichnovirus"	0.529737013052075	0.98978365900258
"Bracovirus"	0.476951222491251	0.9889735868248
"unclassified Iridoviridae"	0.536309084702779	0.989697439874367
"Iridovirus"	0.555513033235745	0.989818337471474
"Chlorovirus"	0.539478831207462	0.98898357003005
"Prasinovirus"	0.512422598570002	0.989284517038122
"Prymnesiovirus"	0.586806961784303	0.991310842272937
"Phycodnaviridae: environmental samples"	0.518371488337155	0.989308847042718
"unclassified Phycodnaviridae"	0.523044940012684	0.988199813808771
"Raphidovirus"	0.543621686064407	0.989793860560156
"Mastadenovirus"	0.464719122011996	0.984931169893259
"Atadenovirus"	0.542219431566132	0.989324337100675
"unclassified Myoviridae"	0.6988511380525	0.991674940290244
"Phikzvirus"	0.551492077456521	0.990046666555784
"Bcep78virus"	0.517440896883431	0.988691131248387
"Pbunavirus"	0.562442090828364	0.989349928509011
"Agatevirus"	0.55169526737222	0.990076316434275
"Bc431virus"	0.501068825164612	0.988229433860451
"Ap22virus"	0.512606201721266	0.988649850987005
"B4virus"	0.471980532769272	0.989810971327047
"Cvm10virus"	0.559274586893265	0.989719588628796
"Pakpunavirus"	0.535442741935048	0.98932754557597
"Secunda5virus"	0.519258988315564	0.989571407646551
"Wphvirus"	0.516700312845282	0.988359452573279
"Rslunavirus"	0.523850973865899	0.990097331626808
"Sep1virus"	0.581060762652337	0.990949824991837
"Spn3virus"	0.577635945819246	0.989868066302378
"Marthavirus"	0.551866061213389	0.989590440948395
"M12virus"	0.520729092760706	0.989893697305605
"Msw3virus"	0.557661292096353	0.990698284783435
"Arv1virus"	0.531743183873068	0.99028545871303
"Eah2virus"	0.526594530357607	0.98940217707584
"Machinavirus"	0.562174343961067	0.990379412801698
"Svunavirus"	0.570225700838021	0.989560232269281
"unclassified Spounavirinae"	0.529504128922104	0.987712510675578
"Kayvirus"	0.532198366426222	0.989304707537793
"P2virus"	0.53946910822637	0.989771956519027
"Hp1virus"	0.542140748998304	0.98941460642144
"T4virus"	0.532169730619609	0.989248702493653
"Schizot4virus"	0.562972050439296	0.98967547092478
"unclassified Tevenvirinae"	0.548492201421022	0.989692607154694
"Rb69virus"	0.550505376962726	0.989743959111122
"S16virus"	0.586517418052469	0.990830195556788
"Js98virus"	0.547413056172	0.98933246653914
"Jd18virus"	0.554798972921374	0.98972265181687
"Kp15virus"	0.565755016731411	0.98986956561153
"Moonvirus"	0.540697135553025	0.989385155513885
"Cp220virus"	0.519004512140851	0.98936902503557
"Cp8virus"	0.56400693299271	0.990344724008409
"Cr3virus"	0.543961837543792	0.988883401730108
"Se1virus"	0.598368054588704	0.990707294719638
