"wilcox_stats"	"wilcox_p"	"padj"
"Saccharomyces"	135	0.409979893471275	0.920869100007221
"Austropuccinia"	177	0.638561663170649	0.920869100007221
"Acinetobacter"	205	0.175169346621201	0.920869100007221
"Pseudomonas"	160	0.975042131450218	1
"Citrobacter"	233	0.0231324706775691	0.920869100007221
"Enterobacter"	187	0.432949762143552	0.920869100007221
"Escherichia"	212	0.113884366758575	0.920869100007221
"Klebsiella"	202	0.207727762521011	0.920869100007221
"Salmonella"	219	0.0705552018479426	0.920869100007221
"unclassified Rhizobiales (miscellaneous)"	132	0.362589196255105	0.920869100007221
"unclassified Burkholderiales (miscellaneous)"	129	0.310457595492994	0.920869100007221
"Bilophila"	158	0.924216457208723	1
"Campylobacter"	152	0.778204951427373	0.94843728455211
"Fusobacterium"	196	0.285143648675592	0.920869100007221
"Akkermansia"	140	0.510419709849028	0.920869100007221
"Chlamydia"	193	0.330193848288349	0.920869100007221
"Firmicutes: environmental samples"	159	0.950108061455936	1
"Staphylococcus"	177	0.638561663170649	0.920869100007221
"Bacillus"	175	0.684016426828247	0.934229837311205
"Paenibacillus"	161	1	1
"Streptococcus"	225	0.0449372825573435	0.920869100007221
"Lactococcus"	186	0.446925978134006	0.920869100007221
"Lactobacillus"	205	0.175169346621201	0.920869100007221
"Enterococcus"	203	0.196432076983898	0.920869100007221
"Clostridium"	168	0.851082093827173	0.975763583785541
"unclassified Clostridiaceae"	146	0.638561663170649	0.920869100007221
"Butyricicoccus"	160	0.974714725901381	1
"Hungatella"	187	0.432949762143552	0.920869100007221
"Clostridiales: environmental samples"	150	0.730615641999789	0.934229837311205
"Roseburia"	177	0.638561663170649	0.920869100007221
"Coprococcus"	178	0.616308426106269	0.920869100007221
"unclassified Lachnospiraceae"	178	0.616308426106269	0.920869100007221
"Dorea"	177	0.638561663170649	0.920869100007221
"Lachnospiraceae: environmental samples"	171	0.775443975547844	0.94843728455211
"Blautia"	185	0.470827890062789	0.920869100007221
"Eisenbergiella"	173	0.72735007740251	0.934229837311205
"Lachnoclostridium"	183	0.510419709849028	0.920869100007221
"Tyzzerella"	186.5	0.437516003841985	0.920869100007221
"Clostridioides"	185	0.466001021949025	0.920869100007221
"Eubacterium"	178	0.616308426106269	0.920869100007221
"Oscillibacter"	120	0.193850368029506	0.920869100007221
"Ruminococcus"	177	0.638561663170649	0.920869100007221
"Faecalibacterium"	126	0.271073216359283	0.920869100007221
"Anaerotruncus"	173	0.730615641999789	0.934229837311205
"Subdoligranulum"	125	0.257473937471519	0.920869100007221
"unclassified Ruminococcaceae"	126	0.271073216359283	0.920869100007221
"Flavonifractor"	140	0.510419709849028	0.920869100007221
"unclassified Clostridiales (miscellaneous)"	147	0.661136789748774	0.920869100007221
"Intestinimonas"	144	0.590006327502832	0.920869100007221
"Coprobacillus"	189	0.392208782979802	0.920869100007221
"unclassified Erysipelotrichaceae"	155	0.849201412898229	0.975763583785541
"Erysipelatoclostridium"	160	0.97471960669382	1
"Phascolarctobacterium"	133	0.374820779173494	0.920869100007221
"Veillonella"	214	0.0998268593674117	0.920869100007221
"unclassified Firmicutes sensu stricto (miscellaneous)"	132	0.362589196255105	0.920869100007221
"Actinomyces"	191	0.362589196255105	0.920869100007221
"Bifidobacterium"	167	0.875685267499844	0.975763583785541
"Rothia"	221	0.0609658665058384	0.920869100007221
"Corynebacterium"	167	0.875685267499844	0.975763583785541
"Mycobacterium"	169	0.826619435476136	0.975763583785541
"Streptomyces"	143	0.572833076084031	0.920869100007221
"Collinsella"	215	0.0933230522010326	0.920869100007221
"Atopobium"	204	0.185581496827809	0.920869100007221
"Flavobacterium"	162	1	1
"unclassified Bacteroidetes"	177	0.638561663170649	0.920869100007221
"Bacteroides"	177	0.638561663170649	0.920869100007221
"Alistipes"	121	0.207727762521011	0.920869100007221
"Porphyromonas"	145	0.616308426106269	0.920869100007221
"unclassified Porphyromonadaceae"	133.5	0.383501192365615	0.920869100007221
"Prevotella"	203	0.196432076983898	0.920869100007221
"Prevotellaceae: environmental samples"	168	0.851082093827173	0.975763583785541
"unclassified Prevotellaceae"	141	0.530832693786701	0.920869100007221
"Paraprevotella"	176	0.657230740143132	0.920869100007221
"Odoribacter"	157	0.900406124499078	0.989178559308847
"Butyricimonas"	129	0.314703662226514	0.920869100007221
"unclassified Muribaculaceae"	131	0.346156346953368	0.920869100007221
"Parabacteroides"	149	0.707182354454203	0.934229837311205
"unclassified Bacteroidales (miscellaneous)"	152	0.778204951427373	0.94843728455211
