"wi.ep"	"wi.eBH"
"Negarnaviricota"	0.442859600073148	0.869433245878772
"Chordata"	0.933442453569494	0.988866457973982
"Chytridiomycota"	0.644070694378423	0.951171217832373
"Microsporidia"	0.703638338917024	0.964848119383424
"Blastocladiomycota"	0.526999954191244	0.915300834816462
"Cryptomycota"	0.475361623627307	0.896765414686077
"Mucoromycota"	0.506161239233218	0.936315205850691
"Zoopagomycota"	0.0494885208867079	0.716291944942591
"Ascomycota"	0.10489187426845	0.77444827654561
"Basidiomycota"	0.0658984112378131	0.740554518467243
"Proteobacteria"	0.698584897221347	0.961676298801885
"Fusobacteria"	0.279654152998226	0.878650456821017
"Nitrospirae"	0.128389702752616	0.768328888422306
"Acidobacteria"	0.138809014827787	0.795059833648167
"Dictyoglomi"	0.583269717716798	0.932194487710683
"Elusimicrobia (74152)"	0.255392803250353	0.841744121914439
"Aquificae (200783)"	0.487513500688677	0.907758780751753
"Thermotogae (200918)"	0.73785404536755	0.966345842209579
"Deferribacteres (200930)"	0.621536040700862	0.944140943525508
"Chrysiogenetes (200938)"	0.474937480492868	0.896252822332791
"Thermodesulfobacteria (200940)"	0.549565793823635	0.927826110030605
"Spirochaetes"	0.172229549713125	0.821530810901969
"Synergistetes"	0.836066786675147	0.978502135331942
"Calditrichaeota"	0.532701340065811	0.911891526142108
"Coprothermobacterota"	0.331089318392039	0.834771188278261
"Candidatus Omnitrophica"	0.352567702349397	0.884651736192535
"Verrucomicrobia"	0.514898076355448	0.941218389493077
"Kiritimatiellaeota"	0.527794825627279	0.903467842365334
"Planctomycetes"	0.636986520360692	0.953547663223906
"Chlamydiae"	0.846588454059407	0.981207868434896
"Lentisphaerae"	0.325649290252046	0.878312724233275
"Candidatus Marinimicrobia"	0.355420974432255	0.865753607873889
"Fibrobacteres"	0.79889586801894	0.973810914747019
"Candidatus Latescibacteria"	0.215173104508337	0.790528250999788
"Gemmatimonadetes (142182)"	0.680607549077135	0.960694118535294
"Candidatus Hydrogenedentes"	0.461136483035219	0.898796258106966
"Candidatus Cloacimonetes"	0.552468964808532	0.9212334185256
"candidate division Zixibacteria"	0.462257671836416	0.896909851381396
"Candidatus Fermentibacteria"	0.549126211073102	0.92154412982019
"Candidatus Kryptonia"	0.619181821052567	0.942672925966558
"Firmicutes"	0.745783027977586	0.969209779086025
