"wilcox_stats"	"wilcox_p"	"padj"
"Chordata"	176	0.661136789748774	0.841866371480919
"Mucoromycota"	178	0.616308426106269	0.841866371480919
"Ascomycota"	141	0.530832693786701	0.841866371480919
"Basidiomycota"	148	0.684016426828247	0.841866371480919
"Proteobacteria"	197	0.271073216359283	0.841866371480919
"Fusobacteria"	195	0.299686895369054	0.841866371480919
"Acidobacteria"	140	0.510419709849028	0.841866371480919
"Spirochaetes"	141	0.530832693786701	0.841866371480919
"Verrucomicrobia"	142	0.551641468052456	0.841866371480919
"Chlamydiae"	194	0.314703662226514	0.841866371480919
"Firmicutes"	166	0.900406124499078	0.975042131450218
"Chloroflexi"	180	0.572833076084031	0.841866371480919
"Actinobacteria (201174)"	217	0.0813115294514917	0.841866371480919
"Bacteroidetes"	164	0.950108061455936	0.975042131450218
"Cyanobacteria"	186	0.451669996124221	0.841866371480919
"Euryarchaeota"	160	0.975042131450218	0.975042131450218
