"wi.ep"	"wi.eBH"
"unidentified phage"	0.525701895973998	0.999241363356582
"environmental Halophage eHP-31"	0.502442248288807	0.999242543601049
"Streptococcus phage phi-m46.1"	0.533071863187768	0.999221380500126
"Methanobacterium virus Drs3"	0.521489904227616	0.999206382033881
"Vibrio phage 1.226.O._10N.261.48.E5"	0.536806220583807	0.999274468948859
"Vibrio phage 1.184.A._10N.286.49.A5"	0.527040015165941	0.99923821519434
"Vibrio phage 1.197.A._10N.286.54.F2"	0.531843060337398	0.999226999742794
"Vibrio phage 1.284.A._10N.286.55.A5"	0.49695199042373	0.999221429347932
"Vibrio phage 1.009.O._10N.261.51.C9"	0.530865251521661	0.99923721032698
"Vibrio phage 1.038.O._10N.286.51.C2"	0.532932677083001	0.999227151146164
"Vibrio phage 1.213.O._10N.222.54.F10"	0.515753588085164	0.999212230267471
"Vibrio phage 1.086.O._10N.222.51.F8"	0.556218730145383	0.999271540815542
"Vibrio phage 1.264.O._10N.286.51.F2"	0.516433002814811	0.999104009144123
"Staphylococcus phage IME1367_02"	0.498299610193725	0.999040440428714
"Cellulophaga phage phi14:2"	0.487203164303592	0.999282900179362
"IAS virus"	0.483354973337166	0.999244151638045
"CrAssphage sp."	0.542268589945561	0.999232807807144
"Bacteroides phage crAss001"	0.339014277100005	0.997738508014924
"CrAssphage sp. O-152"	0.337789360384496	0.999200882707747
"uncultured crAssphage"	0.309031624875112	0.999177995218028
"Bradyrhizobium phage BDU-MI-1"	0.56561695480563	0.999245451839663
"Curvibacter phage P26059A"	0.494486711043015	0.999267824520582
"Lactobacillus phage T25"	0.561437352358549	0.999298708274572
"Vibrio phage 1.076.O._10N.286.51.B7"	0.50390167718451	0.999236620390472
"Vibrio phage 1.081.O._10N.286.52.C2"	0.540655374474065	0.999229628634638
"Vibrio phage 1.084.O._10N.261.49.F5"	0.494812455863242	0.999246241472971
"Vibrio phage 1.121.O._10N.286.46.C4"	0.525997491654649	0.999305275811165
"Escherichia phage vB_EcoS-Ro145clw"	0.558572283711342	0.999267792602142
"Phage sp."	0.516648621759124	0.999219799043631
"Sinorhizobium phage phiM6"	0.52194601640821	0.999262730973768
"Thermus phage phiLo"	0.515939685785249	0.999242737381948
"Thermus phage phiMa"	0.547741751522254	0.999286099672269
"Enterococcus phage EfsSzw-1"	0.492365538288277	0.999206793685107
"Pseudomonas phage PaTs-2"	0.543720967622642	0.99927604247519
"Vibrio phage VpaJT_1"	0.530136802027785	0.997633949532706
"Acinetobacter phage Henu6"	0.537957531841667	0.999256878062823
"Thermobifida phage P318"	0.500958637322985	0.998801308091359
"uncultured marine virus"	0.301192865143515	0.999177995218028
"uncultured human fecal virus"	0.626390081127293	0.999243813376953
"uncultured virus"	0.38318408838481	0.999086442939457
"Organic Lake virophage"	0.486024989659127	0.999222755726888
"uncultured Mediterranean phage uvMED"	0.565032602588133	0.999252341164659
"uncultured Mediterranean phage"	0.505780183243254	0.999263886558563
"uncultured phage MedDCM-OCT-S08-C232"	0.529498820371008	0.999241194209451
"Beihai picorna-like virus 96"	0.55047041977385	0.999253224329393
"Beihai uca arcuata virus 1"	0.562671832575587	0.999258369336715
"Hubei picorna-like virus 40"	0.578482266207003	0.999254407109268
"Hubei sobemo-like virus 32"	0.476702952576262	0.999227797078799
"Citrus endogenous pararetrovirus"	0.483697777271075	0.997067035474451
"Simian immunodeficiency virus"	0.569242361898695	0.999244730815871
"Yacon necrotic mottle virus"	0.508874641016869	0.999268357329154
"Dioscorea bacilliform RT virus 1"	0.510331984643501	0.999281843164341
"Banana streak CA virus"	0.513193141352551	0.999214211140495
"Blackberry Virus F"	0.452154076669685	0.999200069308933
"Tobacco vein clearing virus"	0.536888517941156	0.999268660918852
"Leptopilina boulardi filamentous virus"	0.55939713290349	0.999204395469032
"Faustovirus"	0.483169275595439	0.999187020928766
"Lake Sarah-associated circular molecule 8"	0.481218832755194	0.999223598115679
"Virus Rctr197k"	0.482987382471384	0.999222388037848
"Virus Rctr41k"	0.478817160131241	0.997099783329934
"Pacmanvirus A23"	0.587017891274886	0.999163592351647
"Hudisavirus sp."	0.50549590596087	0.999215854397092
"Pleurochrysis sp. endemic virus 1b"	0.543006014911873	0.999252584994339
"Red-crowned crane parvovirus"	0.532103961590982	0.99856228896036
"Primate protoparvovirus 1"	0.533886622718685	0.999180757798483
"Maize streak virus"	0.496468235085577	0.999241158867402
"Poophage MBI-2016a"	0.486269454811052	0.999245989942582
"Human gut microviridae SH-CHD12"	0.523713234183265	0.99924435386555
"Escherichia phage SECphi17"	0.482124834347492	0.997094103449749
"Microviridae sp."	0.259612966703223	0.99919316870285
"Apis mellifera associated microvirus 58"	0.461554964623365	0.998881877789553
"Gokushovirinae Bog1183_53"	0.525348792001485	0.999266585718578
"Gokushovirus WZ-2015a"	0.518314225358344	0.999224610147432
"Human gut gokushovirus"	0.506255183087612	0.999272561603266
"Escherichia virus phiK"	0.45603593455841	0.999211763465993
"Escherichia virus ID21"	0.500012853507191	0.999277773632122
"Escherichia virus NC28"	0.495524358378345	0.999202355602381
"Escherichia virus NC29"	0.534639947934815	0.997807324336639
"Escherichia virus Talmos"	0.552688583005663	0.999311909627632
"Escherichia virus G4"	0.372177177247662	0.999135969655671
"Escherichia virus phiX174"	0.405276549656836	0.998581690492248
"Enterobacteria phage phiX174 sensu lato"	0.356280806005931	0.999204581580904
"Salmonella phage alphaalpha"	0.459105328984297	0.999230945846025
