"wilcox_stats"	"wilcox_p"	"padj"
"Austropuccinia psidii"	177	0.638561663170649	0.969008495889484
"Acinetobacter baumannii"	202	0.207727762521011	0.969008495889484
"Escherichia coli"	212	0.113884366758575	0.969008495889484
"Klebsiella pneumoniae"	200	0.231678323431963	0.969008495889484
"Salmonella enterica"	219	0.0705552018479426	0.969008495889484
"Rhizobiales bacterium"	134	0.396853016260571	0.969008495889484
"Akkermansia muciniphila"	147	0.657230740143132	0.969008495889484
"Chlamydia trachomatis"	194	0.314703662226514	0.969008495889484
"Staphylococcus aureus"	177	0.638561663170649	0.969008495889484
"Staphylococcus epidermidis"	177	0.634127109338196	0.969008495889484
"Streptococcus pneumoniae"	222	0.0565812718088193	0.969008495889484
"Streptococcus parasanguinis"	228	0.0353352225809545	0.969008495889484
"Lactobacillus fermentum"	167	0.874079770132337	0.969008495889484
"Enterococcus faecalis"	168	0.849201412898229	0.969008495889484
"Enterococcus faecium"	205	0.175169346621201	0.969008495889484
"Clostridium sp. ATCC BAA-442"	153	0.799629065251579	0.969008495889484
"uncultured Clostridium sp."	139	0.490414440873405	0.969008495889484
"Clostridium bolteae CAG:59"	167.5	0.861334763868935	0.969008495889484
"uncultured Butyricicoccus sp."	159	0.949454838945576	0.983747864766738
"Hungatella hathewayi"	190	0.379489387410749	0.969008495889484
"uncultured Clostridiales bacterium"	150	0.730615641999789	0.969008495889484
"Roseburia intestinalis"	147	0.657230740143132	0.969008495889484
"[Eubacterium] rectale"	142.5	0.557702699542509	0.969008495889484
"Lachnospiraceae bacterium 7_1_58FAA"	157	0.899073529936108	0.969008495889484
"Lachnospiraceae bacterium"	180	0.572833076084031	0.969008495889484
"Dorea longicatena"	179	0.594393672223145	0.969008495889484
"Blautia producta"	156.5	0.886603650181348	0.969008495889484
"[Ruminococcus] gnavus"	185	0.470827890062789	0.969008495889484
"[Ruminococcus] torques"	157	0.899131693412008	0.969008495889484
"Blautia obeum"	179.5	0.579190451780324	0.969008495889484
"Blautia wexlerae"	161	1	1
"uncultured Blautia sp."	149.5	0.715536831546174	0.969008495889484
"Blautia sp. CAG:257"	159	0.950108061455936	0.983747864766738
"[Clostridium] symbiosum"	187	0.432949762143552	0.969008495889484
"[Clostridium] clostridioforme"	171	0.778204951427373	0.969008495889484
"[Clostridium] bolteae"	189	0.396853016260571	0.969008495889484
"[Clostridium] aldenense"	169	0.826619435476136	0.969008495889484
"[Clostridium] citroniae"	169.5	0.811730929985045	0.969008495889484
"Lachnoclostridium sp. YL32"	166	0.899008785697785	0.969008495889484
"Clostridioides difficile"	185	0.466001021949025	0.969008495889484
"uncultured Oscillibacter sp."	138	0.466001021949025	0.969008495889484
"uncultured Ruminococcus sp."	179.5	0.579190451780324	0.969008495889484
"Faecalibacterium prausnitzii"	123	0.231678323431963	0.969008495889484
"Ruminococcaceae bacterium"	139.5	0.495665288667126	0.969008495889484
"Flavonifractor plautii"	141	0.530832693786701	0.969008495889484
"uncultured Flavonifractor sp."	142.5	0.557474362207706	0.969008495889484
"Clostridiales bacterium"	157	0.900406124499078	0.969008495889484
"Clostridiales bacterium UBA1707"	149.5	0.71537909825197	0.969008495889484
"Intestinimonas butyriciproducens"	143.5	0.578970514848512	0.969008495889484
"[Clostridium] innocuum"	147.5	0.668609396888783	0.969008495889484
"Veillonella parvula"	199	0.244343407126209	0.969008495889484
