"wilcox_stats"	"wilcox_p"	"padj"
"1CMET2-PWY"	538.5	0.501361274794142	0.843795022301263
"ANAEROFRUCAT-PWY"	460	0.105753856199588	0.720463363051094
"ANAGLYCOLYSIS-PWY"	574	0.805609331511711	0.974599615459054
"ARGININE-SYN4-PWY"	494	0.222843680964616	0.733683625651018
"ARGSYN-PWY"	475.5	0.152134791840918	0.720463363051094
"ARGSYNBSUB-PWY"	448.5	0.0789269673363072	0.720463363051094
"ARO-PWY"	638	0.609914684885601	0.917478500340734
"ASPASN-PWY"	539	0.504858634194322	0.843795022301263
"BIOTIN-BIOSYNTHESIS-PWY"	593	0.985429586285806	1
"BRANCHED-CHAIN-AA-SYN-PWY"	496	0.237026201072544	0.733683625651018
"CALVIN-PWY"	574	0.805609331511711	0.974599615459054
"CITRULBIO-PWY"	497	0.23696245973335	0.733683625651018
"COA-PWY-1"	546	0.56045243897679	0.880710975534956
"COA-PWY"	542	0.52857446666164	0.853478037912372
"COBALSYN-PWY"	542.5	0.525772343911839	0.853478037912372
"COLANSYN-PWY"	528	0.414800285110698	0.774085118301252
"COMPLETE-ARO-PWY"	623	0.741304506436955	0.974599615459054
"DAPLYSINESYN-PWY"	462	0.096928383321282	0.720463363051094
"DTDPRHAMSYN-PWY"	520.5	0.374292430840542	0.758358171183464
"FASYN-ELONG-PWY"	655.5	0.470766878960315	0.836918895929448
"FASYN-INITIAL-PWY"	634	0.643984769501623	0.944510995269047
"GALACTUROCAT-PWY"	483	0.174622659614584	0.720463363051094
"GLCMANNANAUT-PWY"	524	0.393910286444305	0.764013961091765
"GLUCONEO-PWY"	513	0.327247428225009	0.758358171183464
"GLUCUROCAT-PWY"	573.5	0.799255025794884	0.974599615459054
"GLUTORN-PWY"	481.5	0.173884270970823	0.720463363051094
"GLYCOGENSYNTH-PWY"	477.5	0.159141791143931	0.720463363051094
"GLYCOLYSIS-E-D"	521.5	0.373088990579002	0.758358171183464
"GLYCOLYSIS"	564	0.714170615074076	0.97437231203905
"HEME-BIOSYNTHESIS-II"	564.5	0.709351658101192	0.97437231203905
"HEXITOLDEGSUPER-PWY"	499	0.244950804998809	0.733683625651018
"HISDEG-PWY"	516	0.344486975712003	0.758358171183464
"HISTSYN-PWY"	481	0.172974492555784	0.720463363051094
"HOMOSER-METSYN-PWY"	504	0.269494846667484	0.749640140619632
"HSERMETANA-PWY"	465	0.119703963159599	0.720463363051094
"ILEUSYN-PWY"	447	0.0766143284235891	0.720463363051094
"LACTOSECAT-PWY"	602	0.936923874812888	1
"MET-SAM-PWY"	515	0.33204089637496	0.758358171183464
"METSYN-PWY"	510	0.302532274964804	0.758358171183464
"NAGLIPASYN-PWY"	501	0.241459180500985	0.733683625651018
"NONMEVIPP-PWY"	428.5	0.0457574561185825	0.720463363051094
"NONOXIPENT-PWY"	548	0.576754232950772	0.885867887673336
"OANTIGEN-PWY"	555	0.634303078498686	0.938128922821586
"P161-PWY"	468	0.119779719939841	0.720463363051094
"P164-PWY"	520.5	0.364170875681841	0.758358171183464
"P441-PWY"	465.5	0.113672516059261	0.720463363051094
"P461-PWY"	609.5	0.864365627228187	0.994327190009527
"PANTO-PWY"	474	0.148059040267401	0.720463363051094
"PANTOSYN-PWY"	484	0.184711728517839	0.720463363051094
"PENTOSE-P-PWY"	390.5	0.0142709267404705	0.720463363051094
"PEPTIDOGLYCANSYN-PWY"	590	0.956922625984686	1
"PHOSLIPSYN-PWY"	468	0.124939912428651	0.720463363051094
"POLYISOPRENSYN-PWY"	558	0.657966912571784	0.953892873573233
"PWY-1042"	545	0.552360028815963	0.880710975534956
"PWY-1269"	597	0.985484049291593	1
"PWY-2941"	642	0.576349836575588	0.885867887673336
"PWY-2942"	569	0.759536747376253	0.974599615459054
"PWY-3001"	539	0.504998963544965	0.843795022301263
"PWY-3841"	591	0.966490776181354	1
"PWY-4041"	538	0.491527885370654	0.843795022301263
"PWY-4242"	472	0.141354854877753	0.720463363051094
"PWY-4981"	482	0.174230321203711	0.720463363051094
"PWY-4984"	507	0.288544689799508	0.757968140368856
"PWY-5030"	572	0.784921823186458	0.974599615459054
"PWY-5097"	562	0.696426147175889	0.97437231203905
"PWY-5100"	453	0.0887998357978732	0.720463363051094
"PWY-5103"	502	0.266815956283017	0.749640140619632
"PWY-5104"	567	0.73911406963157	0.974599615459054
"PWY-5121"	612.5	0.83634907139488	0.981224833607328
"PWY-5154"	450	0.0815784411195111	0.720463363051094
"PWY-5188"	472	0.139003440220764	0.720463363051094
"PWY-5345"	550	0.578834131150191	0.885867887673336
"PWY-5347"	475	0.144822024163189	0.720463363051094
"PWY-5384"	496	0.222736307057821	0.733683625651018
"PWY-5484"	571	0.777789543320731	0.974599615459054
"PWY-5659"	515	0.339258086924313	0.758358171183464
"PWY-5667"	439.5	0.0626311240753542	0.720463363051094
"PWY-5686"	571	0.777892348969078	0.974599615459054
"PWY-5695"	623	0.741327295231014	0.974599615459054
"PWY-5897"	519	0.348229223109814	0.758358171183464
"PWY-5898"	519	0.348229223109814	0.758358171183464
"PWY-5899"	519	0.348229223109814	0.758358171183464
"PWY-5973"	678	0.322033117434382	0.758358171183464
"PWY-5989"	596	0.99519576401407	1
"PWY-6121"	601	0.947357709442935	1
"PWY-6122"	583	0.890208632755314	0.997940887674746
"PWY-6123"	663	0.417830035446699	0.774085118301252
"PWY-6124"	721	0.132621647290654	0.720463363051094
"PWY-6125"	666.5	0.393968254442307	0.764013961091765
"PWY-6126"	708	0.176850262602205	0.720463363051094
"PWY-6147"	615.5	0.810011948659972	0.974599615459054
"PWY-6151"	573.5	0.800939784100606	0.974599615459054
"PWY-6163"	587	0.928270292956344	1
"PWY-6168"	570	0.768641091498326	0.974599615459054
"PWY-6270"	454	0.0903813080869065	0.720463363051094
"PWY-6277"	583	0.890208632755314	0.997940887674746
"PWY-6282"	615	0.814012178820914	0.974599615459054
"PWY-6305"	538	0.490584765184288	0.843795022301263
"PWY-6317"	526	0.410040941040459	0.774085118301252
"PWY-6353"	443	0.0624412754027207	0.720463363051094
"PWY-6385"	546	0.560416613573672	0.880710975534956
"PWY-6386"	576	0.824263518797664	0.980205265597222
"PWY-6387"	598	0.976060080445576	1
"PWY-6471"	531	0.439460299188351	0.799239475862895
"PWY-6507"	524	0.395029945791765	0.764013961091765
"PWY-6519"	595	1	1
"PWY-6527"	499	0.250119417835574	0.733683625651018
"PWY-6606"	467	0.121985248394223	0.720463363051094
"PWY-6608"	521	0.37522762987133	0.758358171183464
"PWY-6609"	482	0.176850262602205	0.720463363051094
"PWY-6700"	593	0.98563466857052	1
"PWY-6703"	498	0.246618401973759	0.733683625651018
"PWY-6737"	401.5	0.0202039542745952	0.720463363051094
"PWY-6859"	612	0.841846306106287	0.981224833607328
"PWY-6897"	594	0.995204530890294	1
"PWY-6901"	590	0.95639408151007	1
"PWY-6936"	504	0.276415640117549	0.749640140619632
