"wilcox_stats"	"wilcox_p"	"padj"
"1CMET2-PWY"	122	0.31342429327028	0.848055975445926
"ANAEROFRUCAT-PWY"	201.5	0.111017105512186	0.679634578825242
"ANAGLYCOLYSIS-PWY"	117	0.240997994849582	0.832453410968957
"ARGININE-SYN4-PWY"	162.5	0.761753926148149	0.927095863606662
"ARGSYN-PWY"	168	0.629348295073736	0.890159300239428
"ARGSYNBSUB-PWY"	159	0.85474153427749	0.973575144682489
"ARO-PWY"	92	0.0457864038114367	0.679634578825242
"ASPASN-PWY"	163	0.753279486129889	0.923944369706192
"BIOTIN-BIOSYNTHESIS-PWY"	169.5	0.585234948130244	0.86681025336272
"BRANCHED-CHAIN-AA-SYN-PWY"	150	0.934147255482752	0.998519299348246
"CALVIN-PWY"	135	0.563270219734312	0.86681025336272
"CITRULBIO-PWY"	128	0.409190554787253	0.865864919204368
"COA-PWY-1"	123	0.329893892336163	0.848055975445926
"COA-PWY"	123	0.329893892336163	0.848055975445926
"COBALSYN-PWY"	149	0.905608616359293	0.998519299348246
"COLANSYN-PWY"	174.5	0.473804698193642	0.865864919204368
"COMPLETE-ARO-PWY"	98	0.071975648425015	0.679634578825242
"DTDPRHAMSYN-PWY"	132	0.498056780590906	0.865864919204368
"FASYN-ELONG-PWY"	198	0.141350564398396	0.679634578825242
"FASYN-INITIAL-PWY"	99	0.0772280696222431	0.679634578825242
"GLCMANNANAUT-PWY"	165.5	0.688629078774182	0.919971993124404
"GLUCONEO-PWY"	193	0.191246204067665	0.784670979256568
"GLUCUROCAT-PWY"	132	0.491911411394408	0.865864919204368
"GLUTORN-PWY"	170	0.582857249188286	0.86681025336272
"GLYCOGENSYNTH-PWY"	182	0.34280080992291	0.848055975445926
"GLYCOLYSIS-E-D"	170	0.576150122030579	0.86681025336272
"GLYCOLYSIS"	199	0.132216629685059	0.679634578825242
"HEME-BIOSYNTHESIS-II"	195	0.153637726886876	0.679634578825242
"HEXITOLDEGSUPER-PWY"	201	0.109574603424396	0.679634578825242
"HISDEG-PWY"	145	0.802862961984675	0.96220980940148
"HISTSYN-PWY"	146	0.829720756025791	0.973575144682489
"HSERMETANA-PWY"	151	0.960359326124746	0.998519299348246
"ILEUSYN-PWY"	129	0.437333332469254	0.865864919204368
"LACTOSECAT-PWY"	167.5	0.637204609553977	0.893224318749771
"MET-SAM-PWY"	175.5	0.453006637073181	0.865864919204368
"METSYN-PWY"	175.5	0.453006637073181	0.865864919204368
"NONMEVIPP-PWY"	120	0.279346285398786	0.848055975445926
"NONOXIPENT-PWY"	122	0.313967407150007	0.848055975445926
"OANTIGEN-PWY"	166	0.678134631083833	0.919971993124404
"P164-PWY"	199	0.117741915650288	0.679634578825242
"P461-PWY"	177	0.430785468298392	0.865864919204368
"PANTO-PWY"	118	0.254508049213439	0.832453410968957
"PANTOSYN-PWY"	118	0.254508049213439	0.832453410968957
"PENTOSE-P-PWY"	176	0.455945279363824	0.865864919204368
"PEPTIDOGLYCANSYN-PWY"	104	0.109186422869057	0.679634578825242
"PHOSLIPSYN-PWY"	186	0.273599530329411	0.848055975445926
"POLYISOPRENSYN-PWY"	151	0.959700258854192	0.998519299348246
"PWY-1042"	131	0.477640151688344	0.865864919204368
"PWY-1269"	157.5	0.893740972548972	0.998519299348246
"PWY-1861"	159.5	0.837839490024147	0.973575144682489
"PWY-2941"	142	0.727901231305339	0.922106205030647
"PWY-2942"	79	0.0152006863946033	0.679634578825242
"PWY-3001"	164	0.728287703336307	0.922106205030647
"PWY-3841"	107	0.133059768346153	0.679634578825242
"PWY-4041"	177	0.425929908283227	0.865864919204368
"PWY-4242"	164	0.728287703336307	0.922106205030647
"PWY-4981"	152	0.986561671694369	0.999548160331999
"PWY-4984"	134	0.533153102683545	0.865864919204368
"PWY-5030"	164.5	0.710971722929783	0.922106205030647
"PWY-5097"	100	0.0829228930294076	0.679634578825242
"PWY-5100"	174.5	0.4856671963351	0.865864919204368
"PWY-5103"	154	0.986815062748152	0.999548160331999
"PWY-5104"	115.5	0.212617582332079	0.822166171806708
"PWY-5121"	155	0.959892737408243	0.998519299348246
"PWY-5154"	170.5	0.570251398292082	0.86681025336272
"PWY-5188"	165.5	0.688629078774182	0.919971993124404
"PWY-5347"	191.5	0.194918268732523	0.784670979256568
"PWY-5484"	191	0.214705815567357	0.822166171806708
"PWY-5659"	156	0.934077936550405	0.998519299348246
"PWY-5667"	94	0.0525739213604226	0.679634578825242
"PWY-5686"	88	0.0332200417449945	0.679634578825242
"PWY-5695"	128	0.418407390236477	0.865864919204368
"PWY-5973"	136.5	0.597419052773308	0.867877358026384
"PWY-5989"	175	0.475340292908031	0.865864919204368
"PWY-6121"	92	0.0455434664661529	0.679634578825242
"PWY-6122"	108	0.14162989495887	0.679634578825242
"PWY-6123"	94	0.0534424073122169	0.679634578825242
"PWY-6124"	91	0.0413074224909903	0.679634578825242
"PWY-6125"	117	0.240667886163257	0.832453410968957
"PWY-6126"	101.5	0.0920984406815342	0.679634578825242
"PWY-6147"	151	0.960359326124746	0.998519299348246
"PWY-6151"	147	0.855753948829194	0.973575144682489
"PWY-6163"	89	0.0360467571222562	0.679634578825242
"PWY-6168"	135.5	0.573800000184912	0.86681025336272
"PWY-6270"	142.5	0.738432252466718	0.923944369706192
"PWY-6277"	108	0.14162989495887	0.679634578825242
"PWY-6282"	173	0.51629092536721	0.865864919204368
"PWY-6305"	171.5	0.539232896880628	0.865864919204368
"PWY-6317"	165	0.703163306846678	0.919971993124404
"PWY-6385"	95	0.0575495981469399	0.679634578825242
"PWY-6386"	109	0.150797457010731	0.679634578825242
"PWY-6387"	109	0.150797457010731	0.679634578825242
"PWY-6471"	136	0.576150122030579	0.86681025336272
"PWY-6507"	176	0.45244632699255	0.865864919204368
"PWY-6519"	173.5	0.495117122597215	0.865864919204368
"PWY-6527"	147	0.85474153427749	0.973575144682489
"PWY-6606"	189	0.229079452941871	0.832453410968957
"PWY-6608"	196	0.155839776036361	0.679634578825242
"PWY-6609"	118	0.254174745135774	0.832453410968957
"PWY-6700"	122	0.313763881214944	0.848055975445926
"PWY-6703"	153	1	1
"PWY-6737"	185	0.294406825673071	0.848055975445926
"PWY-6859"	182	0.34280080992291	0.848055975445926
"PWY-6897"	144	0.777784979022286	0.939324936203837
"PWY-6901"	198.5	0.132920094552201	0.679634578825242
"PWY-6936"	200	0.121672757027163	0.679634578825242
"PWY-7111"	120	0.283086396713556	0.848055975445926
"PWY-7197"	132	0.496966884771288	0.865864919204368
"PWY-7198"	165	0.699835328214108	0.919971993124404
"PWY-7199"	126.5	0.390489808319002	0.865864919204368
"PWY-7208"	127.5	0.4089735107768	0.865864919204368
"PWY-7219"	125.5	0.372824459330881	0.865864919204368
"PWY-7220"	129	0.437847640257689	0.865864919204368
"PWY-7221"	89	0.0360467571222562	0.679634578825242
"PWY-7222"	129	0.437847640257689	0.865864919204368
"PWY-7228"	101.5	0.0920984406815342	0.679634578825242
"PWY-7229"	100.5	0.0858953642012749	0.679634578825242
"PWY-7234"	155	0.959892737408243	0.998519299348246
"PWY-7237"	151.5	0.970813442636766	0.999548160331999
"PWY-7242"	136.5	0.593142104458493	0.867877358026384
"PWY-724"	189	0.240172016981396	0.832453410968957
"PWY-7282"	133	0.513275185573283	0.865864919204368
"PWY-7357"	147	0.85510845455258	0.973575144682489
"PWY-7388"	172	0.535112316793868	0.865864919204368
"PWY-7392"	156	0.932884525471555	0.998519299348246
"PWY-7400"	169	0.605903195966343	0.867877358026384
"PWY-7539"	143	0.752925966444576	0.923944369706192
"PWY-7560"	147	0.85474153427749	0.973575144682489
"PWY-7663"	135.5	0.574713755684462	0.86681025336272
"PWY-7664"	172	0.538034714028975	0.865864919204368
"PWY-841"	124	0.345704346678594	0.848055975445926
"PWY0-1296"	134	0.540476191605274	0.865864919204368
"PWY0-1297"	158	0.880933319117597	0.995011015118436
"PWY0-1298"	203.5	0.09211900772947	0.679634578825242
"PWY0-1319"	94	0.0525739213604226	0.679634578825242
"PWY0-1586"	128	0.418407390236477	0.865864919204368
"PWY0-162"	153.5	1	1
"PWY0-845"	140	0.671932159503706	0.919971993124404
"PWY0-862"	211	0.056745094461875	0.679634578825242
"PWY3O-355"	130	0.442804045936515	0.865864919204368
"PWY4FS-7"	183	0.326133559274268	0.848055975445926
"PWY4FS-8"	183	0.326133559274268	0.848055975445926
"PWY66-399"	166	0.671932159503706	0.919971993124404
"PWY66-409"	156.5	0.920202177080857	0.998519299348246
"PWY66-422"	163	0.751839131236939	0.923944369706192
"PYRIDNUCSYN-PWY"	127.5	0.403816007516737	0.865864919204368
"PYRIDOXSYN-PWY"	132	0.487345965844049	0.865864919204368
"RHAMCAT-PWY"	133	0.519251778899946	0.865864919204368
"RIBOSYN2-PWY"	141	0.703163306846678	0.919971993124404
"SER-GLYSYN-PWY"	152	0.986815062748152	0.999548160331999
"TEICHOICACID-PWY"	199	0.123187431060014	0.679634578825242
"THISYNARA-PWY"	121	0.294406825673071	0.848055975445926
"THRESYN-PWY"	183	0.329044504609474	0.848055975445926
"TRNA-CHARGING-PWY"	137	0.6080669387446	0.867877358026384
"TRPSYN-PWY"	231	0.00989002823663255	0.679634578825242
"UDPNAGSYN-PWY"	156	0.934077936550405	0.998519299348246
"VALSYN-PWY"	113	0.192026302752546	0.784670979256568
